Kod;Wskaźniki;Rok;Wartosc;Jednostka miary
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;46;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;47;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;47;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;48;osoba
1140000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;33;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;34;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;34;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;35;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;35;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;35;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;36;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;35;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;37;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;38;osoba
2120000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;34;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;35;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;36;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;35;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;35;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;36;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;36;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;36;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;37;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;37;osoba
2240000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;34;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;35;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;34;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;35;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;36;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;36;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;37;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;37;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;38;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;38;osoba
3060000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;23;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;23;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;23;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;24;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;24;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;24;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;24;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;25;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;25;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;25;osoba
3180000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;38;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;38;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;39;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;42;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;40;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;40;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;41;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;41;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;42;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;43;osoba
3200000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;27;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;27;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;26;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;27;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;28;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;27;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;28;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;28;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;29;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;29;osoba
3260000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;23;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;22;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;24;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;26;osoba
4080000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;29;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;30;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;29;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;30;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;30;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;31;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;31;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;31;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;32;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;31;osoba
4300000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;33;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;33;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;32;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;34;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;34;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;34;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;35;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;35;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;36;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;36;osoba
4320000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;35;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;36;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;35;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;37;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;37;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;37;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;38;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;38;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;39;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;40;osoba
5020000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;23;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;23;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;23;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;23;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;23;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;24;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;24;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;24;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;25;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;25;osoba
5160000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;27;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;27;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;26;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;28;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;29;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;28;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;29;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;29;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;30;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;30;osoba
6040000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;38;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;36;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;34;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;37;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;37;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;37;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;37;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;37;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;37;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;38;osoba
6220000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2005;20;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2006;30;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2007;22;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2008;24;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2009;24;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2010;24;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2011;24;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2012;25;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2013;25;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2014;26;osoba
6280000000;lekarze posiadający prawo wykonywania zawodu medycznego na 10 tys. ludności;2015;;osoba
