Kod;Grupy towarów i usług;Rok;Wartosc;Jednostka miary
0;napoje alkoholowe i wyroby tytoniowe;2006;19,99;zł
0;napoje alkoholowe i wyroby tytoniowe;2007;21,84;zł
0;napoje alkoholowe i wyroby tytoniowe;2008;23,81;zł
0;napoje alkoholowe i wyroby tytoniowe;2009;26,06;zł
0;napoje alkoholowe i wyroby tytoniowe;2010;26,94;zł
0;napoje alkoholowe i wyroby tytoniowe;2011;27,41;zł
0;napoje alkoholowe i wyroby tytoniowe;2012;28,46;zł
0;napoje alkoholowe i wyroby tytoniowe;2013;27,3;zł
0;napoje alkoholowe i wyroby tytoniowe;2014;27,24;zł
0;napoje alkoholowe i wyroby tytoniowe;2015;27,06;zł
0;odzież i obuwie;1998;;zł
0;odzież i obuwie;1999;33,49;zł
0;odzież i obuwie;2000;33,1;zł
0;odzież i obuwie;2001;32,21;zł
0;odzież i obuwie;2002;32,8;zł
0;odzież i obuwie;2003;34,69;zł
0;odzież i obuwie;2004;34,28;zł
0;odzież i obuwie;2005;35;zł
0;odzież i obuwie;2006;40,18;zł
0;odzież i obuwie;2007;46,28;zł
0;odzież i obuwie;2008;49,76;zł
0;odzież i obuwie;2009;49,93;zł
0;odzież i obuwie;2010;52,35;zł
0;odzież i obuwie;2011;51,77;zł
0;odzież i obuwie;2012;51,69;zł
0;odzież i obuwie;2013;53,72;zł
0;odzież i obuwie;2014;57,78;zł
0;odzież i obuwie;2015;59,22;zł
0;użytkowanie mieszkania lub domu i nośniki energii;1998;;zł
0;użytkowanie mieszkania lub domu i nośniki energii;1999;100,99;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2000;107,21;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2001;114,91;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2002;124,47;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2003;142,41;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2004;140,78;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2005;135,64;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2006;146,94;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2007;149,14;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2008;170,8;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2009;188,03;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2010;199,88;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2011;210,34;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2012;213,77;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2013;220,56;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2014;216,73;zł
0;użytkowanie mieszkania lub domu i nośniki energii;2015;219,48;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;1998;;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;1999;34,56;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2000;35,59;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2001;29,73;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2002;31,25;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2003;34,05;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2004;34,05;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2005;34,28;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2006;37,96;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2007;44,8;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2008;49,38;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2009;51,51;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2010;51,19;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2011;49,05;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2012;50,35;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2013;49,67;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2014;52,76;zł
0;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2015;54,47;zł
0;zdrowie;1998;;zł
0;zdrowie;1999;23,69;zł
0;zdrowie;2000;26,63;zł
0;zdrowie;2001;27,58;zł
0;zdrowie;2002;28,32;zł
0;zdrowie;2003;33,18;zł
0;zdrowie;2004;35,07;zł
0;zdrowie;2005;34,72;zł
0;zdrowie;2006;36,57;zł
0;zdrowie;2007;40,02;zł
0;zdrowie;2008;43,68;zł
0;zdrowie;2009;47,9;zł
0;zdrowie;2010;47,42;zł
0;zdrowie;2011;50,41;zł
0;zdrowie;2012;52,68;zł
0;zdrowie;2013;53,94;zł
0;zdrowie;2014;53,95;zł
0;zdrowie;2015;57,61;zł
0;transport;1998;;zł
0;transport;1999;51,1;zł
0;transport;2000;59,56;zł
0;transport;2001;53,52;zł
0;transport;2002;53,41;zł
0;transport;2003;58,06;zł
0;transport;2004;63,02;zł
0;transport;2005;61,49;zł
0;transport;2006;65,3;zł
0;transport;2007;75,46;zł
0;transport;2008;91,08;zł
0;transport;2009;92,74;zł
0;transport;2010;94,78;zł
0;transport;2011;97,03;zł
0;transport;2012;102,92;zł
0;transport;2013;102,38;zł
0;transport;2014;98,99;zł
0;transport;2015;95,81;zł
0;łączność;1998;;zł
0;łączność;1999;15,24;zł
0;łączność;2000;21,05;zł
0;łączność;2001;26,21;zł
0;łączność;2002;28,14;zł
0;łączność;2003;31,74;zł
0;łączność;2004;32,5;zł
0;łączność;2005;36,67;zł
0;łączność;2006;38,36;zł
0;łączność;2007;40,66;zł
0;łączność;2008;42,98;zł
0;łączność;2009;43,47;zł
0;łączność;2010;43,43;zł
0;łączność;2011;42,59;zł
0;łączność;2012;41,9;zł
0;łączność;2013;54,69;zł
0;łączność;2014;54,17;zł
0;łączność;2015;54,91;zł
0;rekreacja i kultura;1998;;zł
0;rekreacja i kultura;1999;37,14;zł
0;rekreacja i kultura;2000;40,08;zł
0;rekreacja i kultura;2001;39,73;zł
0;rekreacja i kultura;2002;40,24;zł
0;rekreacja i kultura;2003;44,42;zł
0;rekreacja i kultura;2004;47,04;zł
0;rekreacja i kultura;2005;47,25;zł
0;rekreacja i kultura;2006;53,2;zł
0;rekreacja i kultura;2007;61,54;zł
0;rekreacja i kultura;2008;71,86;zł
0;rekreacja i kultura;2009;76,35;zł
0;rekreacja i kultura;2010;79,8;zł
0;rekreacja i kultura;2011;81,81;zł
0;rekreacja i kultura;2012;85,55;zł
0;rekreacja i kultura;2013;69,22;zł
0;rekreacja i kultura;2014;70,13;zł
0;rekreacja i kultura;2015;73,48;zł
0;edukacja;1998;;zł
0;edukacja;1999;7,32;zł
0;edukacja;2000;8,61;zł
0;edukacja;2001;9,02;zł
0;edukacja;2002;10,06;zł
0;edukacja;2003;10,38;zł
0;edukacja;2004;10,51;zł
0;edukacja;2005;9,07;zł
0;edukacja;2006;10,44;zł
0;edukacja;2007;11,13;zł
0;edukacja;2008;11,28;zł
0;edukacja;2009;11,44;zł
0;edukacja;2010;12,75;zł
0;edukacja;2011;12,48;zł
0;edukacja;2012;12,41;zł
0;edukacja;2013;12,53;zł
0;edukacja;2014;11,98;zł
0;edukacja;2015;11,18;zł
0;restauracje i hotele;1998;;zł
0;restauracje i hotele;1999;7,43;zł
0;restauracje i hotele;2000;8,41;zł
0;restauracje i hotele;2001;8,48;zł
0;restauracje i hotele;2002;10,12;zł
0;restauracje i hotele;2003;11,71;zł
0;restauracje i hotele;2004;12,26;zł
0;restauracje i hotele;2005;12,8;zł
0;restauracje i hotele;2006;14,63;zł
0;restauracje i hotele;2007;15,39;zł
0;restauracje i hotele;2008;18,08;zł
0;restauracje i hotele;2009;20,72;zł
0;restauracje i hotele;2010;22,93;zł
0;restauracje i hotele;2011;24,82;zł
0;restauracje i hotele;2012;29,25;zł
0;restauracje i hotele;2013;30,64;zł
0;restauracje i hotele;2014;45,09;zł
0;restauracje i hotele;2015;45,36;zł
0;pozostałe wydatki na towary i usługi;1998;;zł
0;pozostałe wydatki na towary i usługi;1999;27,64;zł
0;pozostałe wydatki na towary i usługi;2000;29,6;zł
0;pozostałe wydatki na towary i usługi;2001;31,15;zł
0;pozostałe wydatki na towary i usługi;2002;31,14;zł
0;pozostałe wydatki na towary i usługi;2003;34,16;zł
0;pozostałe wydatki na towary i usługi;2004;35,05;zł
0;pozostałe wydatki na towary i usługi;2005;34,22;zł
0;pozostałe wydatki na towary i usługi;2006;37,98;zł
0;pozostałe wydatki na towary i usługi;2007;42,85;zł
0;pozostałe wydatki na towary i usługi;2008;47,33;zł
0;pozostałe wydatki na towary i usługi;2009;50,33;zł
0;pozostałe wydatki na towary i usługi;2010;51,63;zł
0;pozostałe wydatki na towary i usługi;2011;52,31;zł
0;pozostałe wydatki na towary i usługi;2012;54,26;zł
0;pozostałe wydatki na towary i usługi;2013;61,28;zł
0;pozostałe wydatki na towary i usługi;2014;62,51;zł
0;pozostałe wydatki na towary i usługi;2015;64,34;zł
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;1998;;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;1999;;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2000;;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2001;;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2002;;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2003;27,8;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2004;28,1;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2005;28,1;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2006;27,1;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2007;26,6;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2008;25,6;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2009;25,1;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2010;24,8;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2011;25;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2012;25,1;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2013;24,9;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2014;24,4;%
0;udział wydatków na żywność i napoje bezalkoholowe w wydatkach ogółem;2015;24;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;1998;;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;1999;;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2000;;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2001;;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2002;;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2003;21;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2004;20,3;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2005;19,6;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2006;19,7;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2007;18,4;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2008;18,9;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2009;19,7;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2010;20,2;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2011;20,7;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2012;20,3;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2013;20,8;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2014;20,1;%
0;udział wydatków na użytkowanie mieszkania i nośniki energii w wydatkach ogółem;2015;20,1;%
1100000000;ogółem;1998;512,43;zł
1100000000;ogółem;1999;576,77;zł
1100000000;ogółem;2000;642,53;zł
1100000000;ogółem;2001;621,58;zł
1100000000;ogółem;2002;647,22;zł
1100000000;ogółem;2003;689,76;zł
1100000000;ogółem;2004;713,26;zł
1100000000;ogółem;2005;731,81;zł
1100000000;ogółem;2006;774,12;zł
1100000000;ogółem;2007;839,69;zł
1100000000;ogółem;2008;922,37;zł
1100000000;ogółem;2009;997,73;zł
1100000000;ogółem;2010;1035,64;zł
1100000000;ogółem;2011;1042,7;zł
1100000000;ogółem;2012;1083,25;zł
1100000000;ogółem;2013;1132,27;zł
1100000000;ogółem;2014;1118,97;zł
1100000000;ogółem;2015;1146,23;zł
1100000000;towary i usługi konsumpcyjne;1998;491,52;zł
1100000000;towary i usługi konsumpcyjne;1999;552,98;zł
1100000000;towary i usługi konsumpcyjne;2000;613,64;zł
1100000000;towary i usługi konsumpcyjne;2001;597,81;zł
1100000000;towary i usługi konsumpcyjne;2002;616,02;zł
1100000000;towary i usługi konsumpcyjne;2003;657,49;zł
1100000000;towary i usługi konsumpcyjne;2004;680,45;zł
1100000000;towary i usługi konsumpcyjne;2005;699,93;zł
1100000000;towary i usługi konsumpcyjne;2006;733,12;zł
1100000000;towary i usługi konsumpcyjne;2007;801,48;zł
1100000000;towary i usługi konsumpcyjne;2008;878,81;zł
1100000000;towary i usługi konsumpcyjne;2009;947,7;zł
1100000000;towary i usługi konsumpcyjne;2010;981,82;zł
1100000000;towary i usługi konsumpcyjne;2011;988,06;zł
1100000000;towary i usługi konsumpcyjne;2012;1031,39;zł
1100000000;towary i usługi konsumpcyjne;2013;1076,42;zł
1100000000;towary i usługi konsumpcyjne;2014;1062,09;zł
1100000000;towary i usługi konsumpcyjne;2015;1090,71;zł
1100000000;żywność i napoje bezalkoholowe;1998;;zł
1100000000;żywność i napoje bezalkoholowe;1999;171,44;zł
1100000000;żywność i napoje bezalkoholowe;2000;190,86;zł
1100000000;żywność i napoje bezalkoholowe;2001;191,36;zł
1100000000;żywność i napoje bezalkoholowe;2002;182,49;zł
1100000000;żywność i napoje bezalkoholowe;2003;186,05;zł
1100000000;żywność i napoje bezalkoholowe;2004;191,79;zł
1100000000;żywność i napoje bezalkoholowe;2005;194,62;zł
1100000000;żywność i napoje bezalkoholowe;2006;196,15;zł
1100000000;żywność i napoje bezalkoholowe;2007;213,29;zł
1100000000;żywność i napoje bezalkoholowe;2008;230,43;zł
1100000000;żywność i napoje bezalkoholowe;2009;243,31;zł
1100000000;żywność i napoje bezalkoholowe;2010;245,61;zł
1100000000;żywność i napoje bezalkoholowe;2011;252,94;zł
1100000000;żywność i napoje bezalkoholowe;2012;260,1;zł
1100000000;żywność i napoje bezalkoholowe;2013;268,86;zł
1100000000;żywność i napoje bezalkoholowe;2014;268,33;zł
1100000000;żywność i napoje bezalkoholowe;2015;263,91;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;1998;;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;1999;19,04;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2000;21,33;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2001;19,56;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2002;20,16;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2003;20,98;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2004;21,69;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2005;21,65;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2006;21,76;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2007;25,15;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2008;25,69;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2009;28,46;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2010;28,31;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2011;28,98;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2012;28,26;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2013;27,02;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2014;25,45;zł
1100000000;napoje alkoholowe i wyroby tytoniowe;2015;26,93;zł
1100000000;odzież i obuwie;1998;;zł
1100000000;odzież i obuwie;1999;36,65;zł
1100000000;odzież i obuwie;2000;35,96;zł
1100000000;odzież i obuwie;2001;33,76;zł
1100000000;odzież i obuwie;2002;33,68;zł
1100000000;odzież i obuwie;2003;35,13;zł
1100000000;odzież i obuwie;2004;32,65;zł
1100000000;odzież i obuwie;2005;34,87;zł
1100000000;odzież i obuwie;2006;40,91;zł
1100000000;odzież i obuwie;2007;46,18;zł
1100000000;odzież i obuwie;2008;49,25;zł
1100000000;odzież i obuwie;2009;51,23;zł
1100000000;odzież i obuwie;2010;55,2;zł
1100000000;odzież i obuwie;2011;56,41;zł
1100000000;odzież i obuwie;2012;57,49;zł
1100000000;odzież i obuwie;2013;58,92;zł
1100000000;odzież i obuwie;2014;61,8;zł
1100000000;odzież i obuwie;2015;64,35;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;1998;;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;1999;102,66;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2000;116,77;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2001;118,46;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2002;123,5;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2003;141,11;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2004;140,85;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2005;142,53;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2006;140,77;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2007;150,36;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2008;172,28;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2009;188,59;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2010;201,89;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2011;207,19;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2012;210,95;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2013;226,14;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2014;214,98;zł
1100000000;użytkowanie mieszkania lub domu i nośniki energii;2015;218,06;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;1998;;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;1999;31,16;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2000;36,72;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2001;29;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2002;29,73;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2003;33,98;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2004;31,15;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2005;35,7;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2006;33,52;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2007;43,24;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2008;44,56;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2009;48,42;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2010;50,23;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2011;47,84;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2012;44,89;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2013;46,9;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2014;56,47;zł
1100000000;wyposażenie mieszkania i prowadzenie gospodarstwa domowego;2015;56,4;zł
1100000000;zdrowie;1998;;zł
1100000000;zdrowie;1999;26,21;zł
1100000000;zdrowie;2000;28,83;zł
1100000000;zdrowie;2001;29,02;zł
1100000000;zdrowie;2002;30,27;zł
1100000000;zdrowie;2003;36,45;zł
1100000000;zdrowie;2004;37,77;zł
1100000000;zdrowie;2005;38,15;zł
1100000000;zdrowie;2006;42,38;zł
1100000000;zdrowie;2007;43,81;zł
1100000000;zdrowie;2008;47,95;zł
1100000000;zdrowie;2009;54,51;zł
1100000000;zdrowie;2010;52,28;zł
1100000000;zdrowie;2011;54,58;zł
1100000000;zdrowie;2012;57,85;zł
1100000000;zdrowie;2013;60,38;zł
1100000000;zdrowie;2014;60,68;zł
1100000000;zdrowie;2015;64,45;zł
1100000000;transport;1998;;zł
1100000000;transport;1999;62,39;zł
1100000000;transport;2000;62,64;zł
1100000000;transport;2001;56,47;zł
1100000000;transport;2002;54,6;zł
1100000000;transport;2003;58,38;zł
1100000000;transport;2004;74,64;zł
1100000000;transport;2005;71,62;zł
1100000000;transport;2006;78,15;zł
1100000000;transport;2007;84,79;zł
1100000000;transport;2008;96,4;zł
1100000000;transport;2009;92,54;zł
1100000000;transport;2010;100,59;zł
1100000000;transport;2011;100,99;zł
1100000000;transport;2012;114,71;zł
1100000000;transport;2013;116,25;zł
1100000000;transport;2014;101,57;zł
1100000000;transport;2015;98,89;zł
1100000000;łączność;1998;;zł
1100000000;łączność;1999;15,55;zł
1100000000;łączność;2000;22,21;zł
1100000000;łączność;2001;25,27;zł
1100000000;łączność;2002;26,9;zł
1100000000;łączność;2003;29,68;zł
1100000000;łączność;2004;31,53;zł
1100000000;łączność;2005;36,15;zł
1100000000;łączność;2006;38,09;zł
1100000000;łączność;2007;40,22;zł
1100000000;łączność;2008;42,44;zł
1100000000;łączność;2009;45,73;zł
1100000000;łączność;2010;43,99;zł
1100000000;łączność;2011;42,83;zł
1100000000;łączność;2012;42,04;zł
1100000000;łączność;2013;54,65;zł
1100000000;łączność;2014;51,55;zł
1100000000;łączność;2015;54,1;zł
1100000000;rekreacja i kultura;1998;;zł
1100000000;rekreacja i kultura;1999;40,94;zł
1100000000;rekreacja i kultura;2000;45,26;zł
1100000000;rekreacja i kultura;2001;40,16;zł
1100000000;rekreacja i kultura;2002;46,14;zł
1100000000;rekreacja i kultura;2003;50,09;zł
1100000000;rekreacja i kultura;2004;49,72;zł
1100000000;rekreacja i kultura;2005;51,29;zł
1100000000;rekreacja i kultura;2006;57,01;zł
1100000000;rekreacja i kultura;2007;66,57;zł
1100000000;rekreacja i kultura;2008;71,02;zł
1100000000;rekreacja i kultura;2009;82,19;zł
1100000000;rekreacja i kultura;2010;82,62;zł
1100000000;rekreacja i kultura;2011;79,22;zł
1100000000;rekreacja i kultura;2012;90,08;zł
1100000000;rekreacja i kultura;2013;76,91;zł
1100000000;rekreacja i kultura;2014;74,93;zł
1100000000;rekreacja i kultura;2015;86,43;zł
1100000000;edukacja;1998;;zł
1100000000;edukacja;1999;7,92;zł
1100000000;edukacja;2000;9,33;zł
1100000000;edukacja;2001;10,2;zł
1100000000;edukacja;2002;12,84;zł
1100000000;edukacja;2003;10,26;zł
1100000000;edukacja;2004;11,31;zł
1100000000;edukacja;2005;10,29;zł
1100000000;edukacja;2006;11,72;zł
1100000000;edukacja;2007;11,06;zł
1100000000;edukacja;2008;12,33;zł
1100000000;edukacja;2009;13,18;zł
1100000000;edukacja;2010;15,21;zł
1100000000;edukacja;2011;11,92;zł
1100000000;edukacja;2012;11,57;zł
1100000000;edukacja;2013;10,57;zł
1100000000;edukacja;2014;10,9;zł
1100000000;edukacja;2015;10,03;zł
1100000000;restauracje i hotele;1998;;zł
1100000000;restauracje i hotele;1999;7,33;zł
1100000000;restauracje i hotele;2000;5,84;zł
1100000000;restauracje i hotele;2001;9,99;zł
1100000000;restauracje i hotele;2002;15,88;zł
1100000000;restauracje i hotele;2003;15,27;zł
1100000000;restauracje i hotele;2004;15,93;zł
1100000000;restauracje i hotele;2005;20,17;zł
1100000000;restauracje i hotele;2006;19,75;zł
1100000000;restauracje i hotele;2007;20,61;zł
1100000000;restauracje i hotele;2008;24,2;zł
1100000000;restauracje i hotele;2009;25,72;zł
1100000000;restauracje i hotele;2010;27,53;zł
1100000000;restauracje i hotele;2011;28,61;zł
1100000000;restauracje i hotele;2012;32,96;zł
1100000000;restauracje i hotele;2013;38,99;zł
