Kod;Zakres przedmiotowy;Rok;Wartosc;Jednostka miary;Typy szkół
0;ogółem;2014;7;ob.;wyższe szkoły rolnicze
0;ogółem;2015;7;ob.;wyższe szkoły rolnicze
0;jednostki zamiejscowe;2010;5;ob.;wyższe szkoły rolnicze
0;jednostki zamiejscowe;2011;6;ob.;wyższe szkoły rolnicze
0;jednostki zamiejscowe;2012;5;ob.;wyższe szkoły rolnicze
0;jednostki zamiejscowe;2013;5;ob.;wyższe szkoły rolnicze
0;jednostki zamiejscowe;2014;4;ob.;wyższe szkoły rolnicze
0;jednostki zamiejscowe;2015;2;ob.;wyższe szkoły rolnicze
0;studenci;2010;80494;osoba;wyższe szkoły rolnicze
0;studenci;2011;80430;osoba;wyższe szkoły rolnicze
0;studenci;2012;79403;osoba;wyższe szkoły rolnicze
0;studenci;2013;76064;osoba;wyższe szkoły rolnicze
0;studenci;2014;73491;osoba;wyższe szkoły rolnicze
0;studenci;2015;70792;osoba;wyższe szkoły rolnicze
0;absolwenci;2010;19350;osoba;wyższe szkoły rolnicze
0;absolwenci;2011;20642;osoba;wyższe szkoły rolnicze
0;absolwenci;2012;20269;osoba;wyższe szkoły rolnicze
0;absolwenci;2013;19950;osoba;wyższe szkoły rolnicze
0;absolwenci;2014;20153;osoba;wyższe szkoły rolnicze
0;absolwenci;2015;19392;osoba;wyższe szkoły rolnicze
0;ogółem;2010;79;ob.;wyższe szkoły ekonomiczne
0;ogółem;2011;77;ob.;wyższe szkoły ekonomiczne
0;ogółem;2012;76;ob.;wyższe szkoły ekonomiczne
0;ogółem;2013;72;ob.;wyższe szkoły ekonomiczne
0;ogółem;2014;70;ob.;wyższe szkoły ekonomiczne
0;ogółem;2015;67;ob.;wyższe szkoły ekonomiczne
0;jednostki zamiejscowe;2010;120;ob.;wyższe szkoły ekonomiczne
0;jednostki zamiejscowe;2011;128;ob.;wyższe szkoły ekonomiczne
0;jednostki zamiejscowe;2012;105;ob.;wyższe szkoły ekonomiczne
0;jednostki zamiejscowe;2013;95;ob.;wyższe szkoły ekonomiczne
0;jednostki zamiejscowe;2014;85;ob.;wyższe szkoły ekonomiczne
0;jednostki zamiejscowe;2015;66;ob.;wyższe szkoły ekonomiczne
0;studenci;2010;278425;osoba;wyższe szkoły ekonomiczne
0;studenci;2011;248642;osoba;wyższe szkoły ekonomiczne
0;studenci;2012;223467;osoba;wyższe szkoły ekonomiczne
0;studenci;2013;199409;osoba;wyższe szkoły ekonomiczne
0;studenci;2014;186608;osoba;wyższe szkoły ekonomiczne
0;studenci;2015;179122;osoba;wyższe szkoły ekonomiczne
0;absolwenci;2010;88425;osoba;wyższe szkoły ekonomiczne
0;absolwenci;2011;86322;osoba;wyższe szkoły ekonomiczne
0;absolwenci;2012;77016;osoba;wyższe szkoły ekonomiczne
0;absolwenci;2013;69221;osoba;wyższe szkoły ekonomiczne
0;absolwenci;2014;62307;osoba;wyższe szkoły ekonomiczne
0;absolwenci;2015;55345;osoba;wyższe szkoły ekonomiczne
0;ogółem;2010;18;ob.;wyższe szkoły pedagogiczne
0;ogółem;2011;17;ob.;wyższe szkoły pedagogiczne
0;ogółem;2012;17;ob.;wyższe szkoły pedagogiczne
0;ogółem;2013;15;ob.;wyższe szkoły pedagogiczne
0;ogółem;2014;15;ob.;wyższe szkoły pedagogiczne
0;ogółem;2015;14;ob.;wyższe szkoły pedagogiczne
0;jednostki zamiejscowe;2010;11;ob.;wyższe szkoły pedagogiczne
0;jednostki zamiejscowe;2011;10;ob.;wyższe szkoły pedagogiczne
0;jednostki zamiejscowe;2012;9;ob.;wyższe szkoły pedagogiczne
0;jednostki zamiejscowe;2013;8;ob.;wyższe szkoły pedagogiczne
0;jednostki zamiejscowe;2014;8;ob.;wyższe szkoły pedagogiczne
0;jednostki zamiejscowe;2015;9;ob.;wyższe szkoły pedagogiczne
0;studenci;2010;102540;osoba;wyższe szkoły pedagogiczne
0;studenci;2011;73585;osoba;wyższe szkoły pedagogiczne
0;studenci;2012;64956;osoba;wyższe szkoły pedagogiczne
0;studenci;2013;54921;osoba;wyższe szkoły pedagogiczne
0;studenci;2014;49005;osoba;wyższe szkoły pedagogiczne
0;studenci;2015;46122;osoba;wyższe szkoły pedagogiczne
0;absolwenci;2010;33256;osoba;wyższe szkoły pedagogiczne
0;absolwenci;2011;26827;osoba;wyższe szkoły pedagogiczne
0;absolwenci;2012;26124;osoba;wyższe szkoły pedagogiczne
0;absolwenci;2013;22138;osoba;wyższe szkoły pedagogiczne
0;absolwenci;2014;19725;osoba;wyższe szkoły pedagogiczne
0;absolwenci;2015;15894;osoba;wyższe szkoły pedagogiczne
0;ogółem;2010;2;ob.;wyższe szkoły morskie
0;ogółem;2011;2;ob.;wyższe szkoły morskie
0;ogółem;2012;2;ob.;wyższe szkoły morskie
0;ogółem;2013;2;ob.;wyższe szkoły morskie
0;ogółem;2014;2;ob.;wyższe szkoły morskie
0;ogółem;2015;2;ob.;wyższe szkoły morskie
0;jednostki zamiejscowe;2010;0;ob.;wyższe szkoły morskie
0;jednostki zamiejscowe;2011;0;ob.;wyższe szkoły morskie
0;jednostki zamiejscowe;2012;0;ob.;wyższe szkoły morskie
0;jednostki zamiejscowe;2013;0;ob.;wyższe szkoły morskie
0;jednostki zamiejscowe;2014;0;ob.;wyższe szkoły morskie
0;jednostki zamiejscowe;2015;0;ob.;wyższe szkoły morskie
0;studenci;2010;10402;osoba;wyższe szkoły morskie
0;studenci;2011;10566;osoba;wyższe szkoły morskie
0;studenci;2012;10398;osoba;wyższe szkoły morskie
0;studenci;2013;10064;osoba;wyższe szkoły morskie
0;studenci;2014;9647;osoba;wyższe szkoły morskie
0;studenci;2015;9436;osoba;wyższe szkoły morskie
0;absolwenci;2010;2214;osoba;wyższe szkoły morskie
0;absolwenci;2011;2308;osoba;wyższe szkoły morskie
0;absolwenci;2012;2064;osoba;wyższe szkoły morskie
0;absolwenci;2013;1865;osoba;wyższe szkoły morskie
0;absolwenci;2014;1932;osoba;wyższe szkoły morskie
0;absolwenci;2015;1898;osoba;wyższe szkoły morskie
0;ogółem;2010;9;ob.;uniwersytety medyczne
0;ogółem;2011;9;ob.;uniwersytety medyczne
0;ogółem;2012;9;ob.;uniwersytety medyczne
0;ogółem;2013;9;ob.;uniwersytety medyczne
0;ogółem;2014;9;ob.;uniwersytety medyczne
0;ogółem;2015;9;ob.;uniwersytety medyczne
0;jednostki zamiejscowe;2010;2;ob.;uniwersytety medyczne
0;jednostki zamiejscowe;2011;0;ob.;uniwersytety medyczne
0;jednostki zamiejscowe;2012;0;ob.;uniwersytety medyczne
0;jednostki zamiejscowe;2013;0;ob.;uniwersytety medyczne
0;jednostki zamiejscowe;2014;0;ob.;uniwersytety medyczne
0;jednostki zamiejscowe;2015;0;ob.;uniwersytety medyczne
0;studenci;2010;61957;osoba;uniwersytety medyczne
0;studenci;2011;61210;osoba;uniwersytety medyczne
0;studenci;2012;60595;osoba;uniwersytety medyczne
0;studenci;2013;59665;osoba;uniwersytety medyczne
0;studenci;2014;59691;osoba;uniwersytety medyczne
0;studenci;2015;60606;osoba;uniwersytety medyczne
0;absolwenci;2010;13346;osoba;uniwersytety medyczne
0;absolwenci;2011;14914;osoba;uniwersytety medyczne
0;absolwenci;2012;14536;osoba;uniwersytety medyczne
0;absolwenci;2013;14388;osoba;uniwersytety medyczne
0;absolwenci;2014;13932;osoba;uniwersytety medyczne
0;absolwenci;2015;13392;osoba;uniwersytety medyczne
0;ogółem;2010;6;ob.;akademie wychowania fizycznego
0;ogółem;2011;6;ob.;akademie wychowania fizycznego
0;ogółem;2012;6;ob.;akademie wychowania fizycznego
0;ogółem;2013;6;ob.;akademie wychowania fizycznego
0;ogółem;2014;6;ob.;akademie wychowania fizycznego
0;ogółem;2015;6;ob.;akademie wychowania fizycznego
0;jednostki zamiejscowe;2010;3;ob.;akademie wychowania fizycznego
0;jednostki zamiejscowe;2011;3;ob.;akademie wychowania fizycznego
0;jednostki zamiejscowe;2012;3;ob.;akademie wychowania fizycznego
0;jednostki zamiejscowe;2013;3;ob.;akademie wychowania fizycznego
0;jednostki zamiejscowe;2014;3;ob.;akademie wychowania fizycznego
0;jednostki zamiejscowe;2015;3;ob.;akademie wychowania fizycznego
0;studenci;2010;27574;osoba;akademie wychowania fizycznego
0;studenci;2011;27231;osoba;akademie wychowania fizycznego
0;studenci;2012;26459;osoba;akademie wychowania fizycznego
0;studenci;2013;25335;osoba;akademie wychowania fizycznego
0;studenci;2014;24570;osoba;akademie wychowania fizycznego
0;studenci;2015;24727;osoba;akademie wychowania fizycznego
0;absolwenci;2010;8906;osoba;akademie wychowania fizycznego
0;absolwenci;2011;8574;osoba;akademie wychowania fizycznego
0;absolwenci;2012;8135;osoba;akademie wychowania fizycznego
0;absolwenci;2013;7905;osoba;akademie wychowania fizycznego
0;absolwenci;2014;7703;osoba;akademie wychowania fizycznego
0;absolwenci;2015;6541;osoba;akademie wychowania fizycznego
0;ogółem;2010;22;ob.;wyższe szkoły artystyczne
0;ogółem;2011;23;ob.;wyższe szkoły artystyczne
0;ogółem;2012;23;ob.;wyższe szkoły artystyczne
0;ogółem;2013;23;ob.;wyższe szkoły artystyczne
0;ogółem;2014;23;ob.;wyższe szkoły artystyczne
0;ogółem;2015;22;ob.;wyższe szkoły artystyczne
0;jednostki zamiejscowe;2010;5;ob.;wyższe szkoły artystyczne
0;jednostki zamiejscowe;2011;4;ob.;wyższe szkoły artystyczne
0;jednostki zamiejscowe;2012;4;ob.;wyższe szkoły artystyczne
0;jednostki zamiejscowe;2013;4;ob.;wyższe szkoły artystyczne
0;jednostki zamiejscowe;2014;4;ob.;wyższe szkoły artystyczne
0;jednostki zamiejscowe;2015;4;ob.;wyższe szkoły artystyczne
0;studenci;2010;16444;osoba;wyższe szkoły artystyczne
0;studenci;2011;16970;osoba;wyższe szkoły artystyczne
0;studenci;2012;17134;osoba;wyższe szkoły artystyczne
0;studenci;2013;17065;osoba;wyższe szkoły artystyczne
0;studenci;2014;17255;osoba;wyższe szkoły artystyczne
0;studenci;2015;16938;osoba;wyższe szkoły artystyczne
0;absolwenci;2010;3940;osoba;wyższe szkoły artystyczne
0;absolwenci;2011;4055;osoba;wyższe szkoły artystyczne
0;absolwenci;2012;4649;osoba;wyższe szkoły artystyczne
0;absolwenci;2013;4720;osoba;wyższe szkoły artystyczne
0;absolwenci;2014;4739;osoba;wyższe szkoły artystyczne
0;absolwenci;2015;4607;osoba;wyższe szkoły artystyczne
0;ogółem;2010;14;ob.;wyższe szkoły teologiczne
0;ogółem;2011;14;ob.;wyższe szkoły teologiczne
0;ogółem;2012;15;ob.;wyższe szkoły teologiczne
0;ogółem;2013;14;ob.;wyższe szkoły teologiczne
0;ogółem;2014;15;ob.;wyższe szkoły teologiczne
0;ogółem;2015;15;ob.;wyższe szkoły teologiczne
0;jednostki zamiejscowe;2010;8;ob.;wyższe szkoły teologiczne
0;jednostki zamiejscowe;2011;8;ob.;wyższe szkoły teologiczne
0;jednostki zamiejscowe;2012;8;ob.;wyższe szkoły teologiczne
0;jednostki zamiejscowe;2013;8;ob.;wyższe szkoły teologiczne
0;jednostki zamiejscowe;2014;8;ob.;wyższe szkoły teologiczne
0;jednostki zamiejscowe;2015;8;ob.;wyższe szkoły teologiczne
0;studenci;2010;6784;osoba;wyższe szkoły teologiczne
0;studenci;2011;7000;osoba;wyższe szkoły teologiczne
0;studenci;2012;6106;osoba;wyższe szkoły teologiczne
0;studenci;2013;6064;osoba;wyższe szkoły teologiczne
0;studenci;2014;5516;osoba;wyższe szkoły teologiczne
0;studenci;2015;5455;osoba;wyższe szkoły teologiczne
0;absolwenci;2010;1691;osoba;wyższe szkoły teologiczne
0;absolwenci;2011;2033;osoba;wyższe szkoły teologiczne
0;absolwenci;2012;1595;osoba;wyższe szkoły teologiczne
0;absolwenci;2013;1309;osoba;wyższe szkoły teologiczne
0;absolwenci;2014;1456;osoba;wyższe szkoły teologiczne
0;absolwenci;2015;1153;osoba;wyższe szkoły teologiczne
0;ogółem;2010;254;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;ogółem;2011;254;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;ogółem;2012;247;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;ogółem;2013;239;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;ogółem;2014;236;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;ogółem;2015;224;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;jednostki zamiejscowe;2010;48;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;jednostki zamiejscowe;2011;54;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;jednostki zamiejscowe;2012;49;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;jednostki zamiejscowe;2013;50;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;jednostki zamiejscowe;2014;49;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;jednostki zamiejscowe;2015;47;ob.;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;studenci;2010;387379;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;studenci;2011;356913;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;studenci;2012;322077;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;studenci;2013;285428;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;studenci;2014;259469;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;studenci;2015;237705;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;absolwenci;2010;103248;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;absolwenci;2011;108967;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;absolwenci;2012;104978;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;absolwenci;2013;97089;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;absolwenci;2014;83915;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;absolwenci;2015;75865;osoba;pozostałe szkoły wyższe (w tym państwowe wyższe szkoły zawodowe)
0;ogółem;2010;;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;ogółem;2011;;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;ogółem;2012;7;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;ogółem;2013;7;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;ogółem;2014;7;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;ogółem;2015;7;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;jednostki zamiejscowe;2010;;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;jednostki zamiejscowe;2011;;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;jednostki zamiejscowe;2012;0;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;jednostki zamiejscowe;2013;0;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;jednostki zamiejscowe;2014;0;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;jednostki zamiejscowe;2015;0;ob.;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;studenci;2010;;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;studenci;2011;;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;studenci;2012;29198;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;studenci;2013;29409;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;studenci;2014;29764;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;studenci;2015;29707;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;absolwenci;2010;;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;absolwenci;2011;;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;absolwenci;2012;6517;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;absolwenci;2013;6813;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;absolwenci;2014;7456;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
0;absolwenci;2015;7244;osoba;szkoły resortu obrony narodowej oraz spraw wewnętrznych
1100000000;ogółem;2010;32;ob.;szkoły wyższe ogółem
1100000000;ogółem;2011;30;ob.;szkoły wyższe ogółem
1100000000;ogółem;2012;29;ob.;szkoły wyższe ogółem
1100000000;ogółem;2013;29;ob.;szkoły wyższe ogółem
1100000000;ogółem;2014;30;ob.;szkoły wyższe ogółem
1100000000;ogółem;2015;26;ob.;szkoły wyższe ogółem
1100000000;jednostki zamiejscowe;2010;23;ob.;szkoły wyższe ogółem
1100000000;jednostki zamiejscowe;2011;26;ob.;szkoły wyższe ogółem
1100000000;jednostki zamiejscowe;2012;25;ob.;szkoły wyższe ogółem
1100000000;jednostki zamiejscowe;2013;20;ob.;szkoły wyższe ogółem
1100000000;jednostki zamiejscowe;2014;15;ob.;szkoły wyższe ogółem
1100000000;jednostki zamiejscowe;2015;10;ob.;szkoły wyższe ogółem
1100000000;studenci;2010;114942;osoba;szkoły wyższe ogółem
1100000000;studenci;2011;108221;osoba;szkoły wyższe ogółem
1100000000;studenci;2012;101732;osoba;szkoły wyższe ogółem
1100000000;studenci;2013;92153;osoba;szkoły wyższe ogółem
1100000000;studenci;2014;87384;osoba;szkoły wyższe ogółem
1100000000;studenci;2015;82202;osoba;szkoły wyższe ogółem
1100000000;absolwenci;2010;33425;osoba;szkoły wyższe ogółem
1100000000;absolwenci;2011;30456;osoba;szkoły wyższe ogółem
1100000000;absolwenci;2012;28999;osoba;szkoły wyższe ogółem
1100000000;absolwenci;2013;25846;osoba;szkoły wyższe ogółem
1100000000;absolwenci;2014;24003;osoba;szkoły wyższe ogółem
1100000000;absolwenci;2015;21905;osoba;szkoły wyższe ogółem
1100000000;ogółem;2010;1;ob.;uniwersytety
1100000000;ogółem;2011;1;ob.;uniwersytety
1100000000;ogółem;2012;1;ob.;uniwersytety
1100000000;ogółem;2013;1;ob.;uniwersytety
1100000000;ogółem;2014;1;ob.;uniwersytety
1100000000;ogółem;2015;1;ob.;uniwersytety
1100000000;jednostki zamiejscowe;2010;3;ob.;uniwersytety
1100000000;jednostki zamiejscowe;2011;5;ob.;uniwersytety
1100000000;jednostki zamiejscowe;2012;5;ob.;uniwersytety
1100000000;jednostki zamiejscowe;2013;2;ob.;uniwersytety
1100000000;jednostki zamiejscowe;2014;2;ob.;uniwersytety
1100000000;jednostki zamiejscowe;2015;2;ob.;uniwersytety
1100000000;studenci;2010;42886;osoba;uniwersytety
1100000000;studenci;2011;45742;osoba;uniwersytety
1100000000;studenci;2012;43887;osoba;uniwersytety
1100000000;studenci;2013;39404;osoba;uniwersytety
1100000000;studenci;2014;36885;osoba;uniwersytety
1100000000;studenci;2015;35375;osoba;uniwersytety
1100000000;absolwenci;2010;9374;osoba;uniwersytety
1100000000;absolwenci;2011;11369;osoba;uniwersytety
1100000000;absolwenci;2012;12034;osoba;uniwersytety
1100000000;absolwenci;2013;10891;osoba;uniwersytety
1100000000;absolwenci;2014;10387;osoba;uniwersytety
1100000000;absolwenci;2015;9876;osoba;uniwersytety
1100000000;ogółem;2010;2;ob.;wyższe szkoły techniczne
1100000000;ogółem;2011;2;ob.;wyższe szkoły techniczne
1100000000;ogółem;2012;2;ob.;wyższe szkoły techniczne
1100000000;ogółem;2013;2;ob.;wyższe szkoły techniczne
1100000000;ogółem;2014;2;ob.;wyższe szkoły techniczne
1100000000;ogółem;2015;2;ob.;wyższe szkoły techniczne
1100000000;jednostki zamiejscowe;2010;3;ob.;wyższe szkoły techniczne
1100000000;jednostki zamiejscowe;2011;2;ob.;wyższe szkoły techniczne
1100000000;jednostki zamiejscowe;2012;2;ob.;wyższe szkoły techniczne
1100000000;jednostki zamiejscowe;2013;2;ob.;wyższe szkoły techniczne
1100000000;jednostki zamiejscowe;2014;1;ob.;wyższe szkoły techniczne
1100000000;jednostki zamiejscowe;2015;1;ob.;wyższe szkoły techniczne
1100000000;studenci;2010;22594;osoba;wyższe szkoły techniczne
1100000000;studenci;2011;22940;osoba;wyższe szkoły techniczne
1100000000;studenci;2012;23752;osoba;wyższe szkoły techniczne
1100000000;studenci;2013;23034;osoba;wyższe szkoły techniczne
1100000000;studenci;2014;22332;osoba;wyższe szkoły techniczne
1100000000;studenci;2015;20864;osoba;wyższe szkoły techniczne
1100000000;absolwenci;2010;4393;osoba;wyższe szkoły techniczne
1100000000;absolwenci;2011;4815;osoba;wyższe szkoły techniczne
1100000000;absolwenci;2012;4929;osoba;wyższe szkoły techniczne
1100000000;absolwenci;2013;4208;osoba;wyższe szkoły techniczne
1100000000;absolwenci;2014;4317;osoba;wyższe szkoły techniczne
1100000000;absolwenci;2015;4505;osoba;wyższe szkoły techniczne
1100000000;ogółem;2010;0;ob.;wyższe szkoły rolnicze
1100000000;ogółem;2011;0;ob.;wyższe szkoły rolnicze
1100000000;ogółem;2012;0;ob.;wyższe szkoły rolnicze
1100000000;ogółem;2013;0;ob.;wyższe szkoły rolnicze
1100000000;ogółem;2014;0;ob.;wyższe szkoły rolnicze
1100000000;ogółem;2015;0;ob.;wyższe szkoły rolnicze
1100000000;jednostki zamiejscowe;2010;2;ob.;wyższe szkoły rolnicze
1100000000;jednostki zamiejscowe;2011;2;ob.;wyższe szkoły rolnicze
1100000000;jednostki zamiejscowe;2012;2;ob.;wyższe szkoły rolnicze
1100000000;jednostki zamiejscowe;2013;2;ob.;wyższe szkoły rolnicze
1100000000;jednostki zamiejscowe;2014;1;ob.;wyższe szkoły rolnicze
1100000000;jednostki zamiejscowe;2015;0;ob.;wyższe szkoły rolnicze
1100000000;studenci;2010;280;osoba;wyższe szkoły rolnicze
1100000000;studenci;2011;229;osoba;wyższe szkoły rolnicze
1100000000;studenci;2012;165;osoba;wyższe szkoły rolnicze
1100000000;studenci;2013;73;osoba;wyższe szkoły rolnicze
1100000000;studenci;2014;36;osoba;wyższe szkoły rolnicze
1100000000;studenci;2015;0;osoba;wyższe szkoły rolnicze
1100000000;absolwenci;2010;72;osoba;wyższe szkoły rolnicze
1100000000;absolwenci;2011;42;osoba;wyższe szkoły rolnicze
1100000000;absolwenci;2012;22;osoba;wyższe szkoły rolnicze
1100000000;absolwenci;2013;44;osoba;wyższe szkoły rolnicze
1100000000;absolwenci;2014;27;osoba;wyższe szkoły rolnicze
1100000000;absolwenci;2015;0;osoba;wyższe szkoły rolnicze
1100000000;ogółem;2010;8;ob.;wyższe szkoły ekonomiczne
1100000000;ogółem;2011;7;ob.;wyższe szkoły ekonomiczne
1100000000;ogółem;2012;7;ob.;wyższe szkoły ekonomiczne
