Kod;Rodzaje towarów i usług;Rok;Wartosc;Jednostka miary
4080000000;wizyta u lekarza specjalisty;2015;84,26;zł
4300000000;wizyta u lekarza specjalisty;1999;39,51;zł
4300000000;wizyta u lekarza specjalisty;2000;43,26;zł
4300000000;wizyta u lekarza specjalisty;2001;47,58;zł
4300000000;wizyta u lekarza specjalisty;2002;48,78;zł
4300000000;wizyta u lekarza specjalisty;2003;49,12;zł
4300000000;wizyta u lekarza specjalisty;2004;50,88;zł
4300000000;wizyta u lekarza specjalisty;2005;52,44;zł
4300000000;wizyta u lekarza specjalisty;2006;54,17;zł
4300000000;wizyta u lekarza specjalisty;2007;56,71;zł
4300000000;wizyta u lekarza specjalisty;2008;65;zł
4300000000;wizyta u lekarza specjalisty;2009;70,02;zł
4300000000;wizyta u lekarza specjalisty;2010;76,08;zł
4300000000;wizyta u lekarza specjalisty;2011;80,66;zł
4300000000;wizyta u lekarza specjalisty;2012;85,31;zł
4300000000;wizyta u lekarza specjalisty;2013;90,7;zł
4300000000;wizyta u lekarza specjalisty;2014;94,12;zł
4300000000;wizyta u lekarza specjalisty;2015;100,36;zł
4320000000;wizyta u lekarza specjalisty;1999;42,43;zł
4320000000;wizyta u lekarza specjalisty;2000;44,9;zł
4320000000;wizyta u lekarza specjalisty;2001;46,13;zł
4320000000;wizyta u lekarza specjalisty;2002;46,52;zł
4320000000;wizyta u lekarza specjalisty;2003;46,97;zł
4320000000;wizyta u lekarza specjalisty;2004;48,32;zł
4320000000;wizyta u lekarza specjalisty;2005;48,64;zł
4320000000;wizyta u lekarza specjalisty;2006;50,31;zł
4320000000;wizyta u lekarza specjalisty;2007;52,28;zł
4320000000;wizyta u lekarza specjalisty;2008;54,39;zł
4320000000;wizyta u lekarza specjalisty;2009;57,07;zł
4320000000;wizyta u lekarza specjalisty;2010;61,46;zł
4320000000;wizyta u lekarza specjalisty;2011;64,21;zł
4320000000;wizyta u lekarza specjalisty;2012;70,73;zł
4320000000;wizyta u lekarza specjalisty;2013;74,39;zł
4320000000;wizyta u lekarza specjalisty;2014;75,89;zł
4320000000;wizyta u lekarza specjalisty;2015;78,61;zł
5020000000;wizyta u lekarza specjalisty;1999;40,77;zł
5020000000;wizyta u lekarza specjalisty;2000;43,34;zł
5020000000;wizyta u lekarza specjalisty;2001;45,98;zł
5020000000;wizyta u lekarza specjalisty;2002;47,37;zł
5020000000;wizyta u lekarza specjalisty;2003;49,88;zł
5020000000;wizyta u lekarza specjalisty;2004;51,01;zł
5020000000;wizyta u lekarza specjalisty;2005;51,17;zł
5020000000;wizyta u lekarza specjalisty;2006;50,32;zł
5020000000;wizyta u lekarza specjalisty;2007;54,02;zł
5020000000;wizyta u lekarza specjalisty;2008;60,98;zł
5020000000;wizyta u lekarza specjalisty;2009;66,57;zł
5020000000;wizyta u lekarza specjalisty;2010;72,6;zł
5020000000;wizyta u lekarza specjalisty;2011;79,9;zł
5020000000;wizyta u lekarza specjalisty;2012;83,97;zł
5020000000;wizyta u lekarza specjalisty;2013;89,14;zł
5020000000;wizyta u lekarza specjalisty;2014;94,75;zł
5020000000;wizyta u lekarza specjalisty;2015;98,87;zł
5160000000;wizyta u lekarza specjalisty;1999;45,42;zł
5160000000;wizyta u lekarza specjalisty;2000;47,59;zł
5160000000;wizyta u lekarza specjalisty;2001;50,89;zł
5160000000;wizyta u lekarza specjalisty;2002;51,27;zł
5160000000;wizyta u lekarza specjalisty;2003;54,84;zł
5160000000;wizyta u lekarza specjalisty;2004;55;zł
5160000000;wizyta u lekarza specjalisty;2005;55,26;zł
5160000000;wizyta u lekarza specjalisty;2006;55,36;zł
5160000000;wizyta u lekarza specjalisty;2007;56,66;zł
5160000000;wizyta u lekarza specjalisty;2008;62,49;zł
5160000000;wizyta u lekarza specjalisty;2009;68,33;zł
5160000000;wizyta u lekarza specjalisty;2010;70;zł
5160000000;wizyta u lekarza specjalisty;2011;79,64;zł
5160000000;wizyta u lekarza specjalisty;2012;80,48;zł
5160000000;wizyta u lekarza specjalisty;2013;80,83;zł
5160000000;wizyta u lekarza specjalisty;2014;88,57;zł
5160000000;wizyta u lekarza specjalisty;2015;90,95;zł
6040000000;wizyta u lekarza specjalisty;1999;41,4;zł
6040000000;wizyta u lekarza specjalisty;2000;44,64;zł
6040000000;wizyta u lekarza specjalisty;2001;45,94;zł
6040000000;wizyta u lekarza specjalisty;2002;47,61;zł
6040000000;wizyta u lekarza specjalisty;2003;47,4;zł
6040000000;wizyta u lekarza specjalisty;2004;46,75;zł
6040000000;wizyta u lekarza specjalisty;2005;46,64;zł
6040000000;wizyta u lekarza specjalisty;2006;48,46;zł
6040000000;wizyta u lekarza specjalisty;2007;51,8;zł
6040000000;wizyta u lekarza specjalisty;2008;56,73;zł
6040000000;wizyta u lekarza specjalisty;2009;62,44;zł
6040000000;wizyta u lekarza specjalisty;2010;68,52;zł
6040000000;wizyta u lekarza specjalisty;2011;72,57;zł
6040000000;wizyta u lekarza specjalisty;2012;76,56;zł
6040000000;wizyta u lekarza specjalisty;2013;77,75;zł
6040000000;wizyta u lekarza specjalisty;2014;89,74;zł
6040000000;wizyta u lekarza specjalisty;2015;91,86;zł
6220000000;wizyta u lekarza specjalisty;1999;35,89;zł
6220000000;wizyta u lekarza specjalisty;2000;39,48;zł
6220000000;wizyta u lekarza specjalisty;2001;41,72;zł
6220000000;wizyta u lekarza specjalisty;2002;43,58;zł
6220000000;wizyta u lekarza specjalisty;2003;45,88;zł
6220000000;wizyta u lekarza specjalisty;2004;48,71;zł
6220000000;wizyta u lekarza specjalisty;2005;51,05;zł
6220000000;wizyta u lekarza specjalisty;2006;53,79;zł
6220000000;wizyta u lekarza specjalisty;2007;54,43;zł
6220000000;wizyta u lekarza specjalisty;2008;57,36;zł
6220000000;wizyta u lekarza specjalisty;2009;64,95;zł
6220000000;wizyta u lekarza specjalisty;2010;70,26;zł
6220000000;wizyta u lekarza specjalisty;2011;73,66;zł
6220000000;wizyta u lekarza specjalisty;2012;76,8;zł
6220000000;wizyta u lekarza specjalisty;2013;80;zł
6220000000;wizyta u lekarza specjalisty;2014;83,65;zł
6220000000;wizyta u lekarza specjalisty;2015;88,08;zł
6280000000;wizyta u lekarza specjalisty;1999;37,5;zł
6280000000;wizyta u lekarza specjalisty;2000;40;zł
6280000000;wizyta u lekarza specjalisty;2001;42,89;zł
6280000000;wizyta u lekarza specjalisty;2002;44,95;zł
6280000000;wizyta u lekarza specjalisty;2003;45,42;zł
6280000000;wizyta u lekarza specjalisty;2004;46,15;zł
6280000000;wizyta u lekarza specjalisty;2005;46,72;zł
6280000000;wizyta u lekarza specjalisty;2006;48,7;zł
6280000000;wizyta u lekarza specjalisty;2007;50,67;zł
6280000000;wizyta u lekarza specjalisty;2008;52,58;zł
6280000000;wizyta u lekarza specjalisty;2009;60;zł
6280000000;wizyta u lekarza specjalisty;2010;68,92;zł
6280000000;wizyta u lekarza specjalisty;2011;74,29;zł
6280000000;wizyta u lekarza specjalisty;2012;80,88;zł
6280000000;wizyta u lekarza specjalisty;2013;89,21;zł
6280000000;wizyta u lekarza specjalisty;2014;90,83;zł
6280000000;wizyta u lekarza specjalisty;2015;90,42;zł
