Kod;Zakres przedmiotowy;Rok;Wartosc;Jednostka miary
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;102,4;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;101,2;%
1100000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,9;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;104,5;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;105,7;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;107,5;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;108,5;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;103,4;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;105,4;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;104,6;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;104,3;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;101,6;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;102,6;%
1140000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,4;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;106,7;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103,8;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;104,4;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;104,9;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;105,1;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;102,7;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;101,9;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,8;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;101,2;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;101,2;%
2120000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,3;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;103,2;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;100,9;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;110,4;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;109,4;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;106;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;100,9;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;104,2;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,5;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;101,2;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;100,8;%
2240000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,4;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;102,9;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;102,2;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;105,1;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;106,7;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;105,1;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;101;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;104;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,8;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;102,1;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;102;%
3060000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;102,2;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;105,4;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;105,7;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;105,6;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;105;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;105,3;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;101,1;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;103,5;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,8;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,6;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;102,4;%
3180000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;102,3;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;101,9;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;103,5;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;106,3;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;101,8;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;103,8;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;102,7;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;104,3;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,6;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;102,6;%
3200000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;102,9;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;105;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;100,7;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;108,2;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;107,8;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;105,6;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;99,4;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;102,8;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;103,6;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,3;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;99,2;%
3260000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,2;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;108,4;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;106,5;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;105,4;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;105,8;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;104,3;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;99,7;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;102,8;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;103,8;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;102,3;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;100,5;%
4080000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;104;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;109,5;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103,1;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;104,1;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;105,3;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;102,3;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;103;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;101,8;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,1;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;102,5;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;101,7;%
4300000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,7;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;103,8;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103,4;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;105,8;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;103,4;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;101,4;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;102,9;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;103,1;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;103,6;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,9;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;100,5;%
4320000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,6;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;103,1;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;105,8;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;102,9;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;109,5;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;104,1;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;101,8;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;105,1;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;106;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;102;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;100,4;%
5020000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,3;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;105,9;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;99,2;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;105;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;108,4;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;100,1;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;99,1;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;102,7;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,1;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,7;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;101;%
5160000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;104,3;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;106,6;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;102,5;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;107;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;107,3;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;103,3;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;98,7;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;103,2;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;103,8;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,6;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;101,6;%
6040000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;102,4;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;107,6;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;103,6;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;105;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;107,3;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;101,6;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;104,7;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;102,6;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;105,2;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;102,5;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;100,6;%
6220000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;102,5;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2000;0;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2001;0;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2002;0;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2003;0;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2004;103,5;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2005;101,9;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2006;104,3;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2007;104,1;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2008;103,8;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2009;102,5;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2010;103,1;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2011;104,2;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2012;100,2;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2013;100,8;%
6280000000;dynamika produktu krajowego brutto na 1 mieszkańca, rok poprzedni=100;2014;103,7;%
