Kod;Zdawalność;Rok;Wartosc;Jednostka miary;Rodzaje egzaminów
0;w stosunku do średniej krajowej;2009;;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2010;;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2011;;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2012;100;-;w części humanistycznej historia i wiedza o społeczeństwie
0;w stosunku do średniej krajowej;2013;100;-;w części humanistycznej historia i wiedza o społeczeństwie
0;ogółem;2005;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2006;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2007;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2008;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2009;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2010;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2011;;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2012;47;%;w części matematyczno-przyrodniczej matematyka
0;ogółem;2013;48;%;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2005;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2006;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2007;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2008;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2009;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2010;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2011;;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2012;100;-;w części matematyczno-przyrodniczej matematyka
0;w stosunku do średniej krajowej;2013;100;-;w części matematyczno-przyrodniczej matematyka
0;ogółem;2005;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2006;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2007;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2008;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2009;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2010;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2011;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2012;50;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;ogółem;2013;59;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2005;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2006;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2007;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2008;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2009;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2010;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2011;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2012;100;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
0;w stosunku do średniej krajowej;2013;100;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2005;65,04;%;w części humanistycznej
1100000000;ogółem;2006;61,91;%;w części humanistycznej
1100000000;ogółem;2007;62,42;%;w części humanistycznej
1100000000;ogółem;2008;61;%;w części humanistycznej
1100000000;ogółem;2009;62,84;%;w części humanistycznej
1100000000;ogółem;2010;59,38;%;w części humanistycznej
1100000000;ogółem;2011;50,32;%;w części humanistycznej
1100000000;ogółem;2012;;%;w części humanistycznej
1100000000;ogółem;2013;;%;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2005;98,01;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2006;98,61;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2007;99,16;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2008;99,2;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2009;99,21;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2010;97,86;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2011;99,41;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2012;;-;w części humanistycznej
1100000000;w stosunku do średniej krajowej;2013;;-;w części humanistycznej
1100000000;ogółem;2005;49,75;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2006;48,66;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2007;51,4;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2008;55,01;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2009;52,8;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2010;48,02;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2011;47,62;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2012;;%;w części matematyczno-przyrodniczej
1100000000;ogółem;2013;;%;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2005;102,56;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2006;101,82;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2007;101,54;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2008;101,59;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2009;101,42;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2010;100,46;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2011;100,76;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2012;;-;w części matematyczno-przyrodniczej
1100000000;w stosunku do średniej krajowej;2013;;-;w części matematyczno-przyrodniczej
1100000000;ogółem;2005;;%;w części humanistycznej język polski
1100000000;ogółem;2006;;%;w części humanistycznej język polski
1100000000;ogółem;2007;;%;w części humanistycznej język polski
1100000000;ogółem;2008;;%;w części humanistycznej język polski
1100000000;ogółem;2009;;%;w części humanistycznej język polski
1100000000;ogółem;2010;;%;w części humanistycznej język polski
1100000000;ogółem;2011;;%;w części humanistycznej język polski
1100000000;ogółem;2012;65;%;w części humanistycznej język polski
1100000000;ogółem;2013;63;%;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2005;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2006;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2007;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2008;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2009;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2010;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2011;;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2012;100;-;w części humanistycznej język polski
1100000000;w stosunku do średniej krajowej;2013;101,61;-;w części humanistycznej język polski
1100000000;ogółem;2005;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2006;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2007;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2008;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2009;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2010;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2011;;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2012;61;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2013;58;%;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2005;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2006;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2007;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2008;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2009;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2010;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2011;;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2012;100;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;w stosunku do średniej krajowej;2013;100;-;w części humanistycznej historia i wiedza o społeczeństwie
1100000000;ogółem;2005;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2006;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2007;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2008;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2009;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2010;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2011;;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2012;48;%;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2013;48;%;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2005;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2006;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2007;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2008;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2009;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2010;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2011;;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2012;102,13;-;w części matematyczno-przyrodniczej matematyka
1100000000;w stosunku do średniej krajowej;2013;100;-;w części matematyczno-przyrodniczej matematyka
1100000000;ogółem;2005;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2006;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2007;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2008;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2009;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2010;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2011;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2012;50;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;ogółem;2013;60;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2005;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2006;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2007;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2008;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2009;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2010;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2011;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2012;100;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1100000000;w stosunku do średniej krajowej;2013;101,69;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2005;68,92;%;w części humanistycznej
1140000000;ogółem;2006;64,81;%;w części humanistycznej
1140000000;ogółem;2007;65,69;%;w części humanistycznej
1140000000;ogółem;2008;63,41;%;w części humanistycznej
1140000000;ogółem;2009;65,62;%;w części humanistycznej
1140000000;ogółem;2010;63,26;%;w części humanistycznej
1140000000;ogółem;2011;54,66;%;w części humanistycznej
1140000000;ogółem;2012;;%;w części humanistycznej
1140000000;ogółem;2013;;%;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2005;103,86;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2006;103,23;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2007;104,35;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2008;103,12;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2009;103,6;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2010;104,25;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2011;107,98;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2012;;-;w części humanistycznej
1140000000;w stosunku do średniej krajowej;2013;;-;w części humanistycznej
1140000000;ogółem;2005;51,68;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2006;50,48;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2007;53,53;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2008;57,16;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2009;55,06;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2010;49,92;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2011;49,08;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2012;;%;w części matematyczno-przyrodniczej
1140000000;ogółem;2013;;%;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2005;106,53;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2006;105,63;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2007;105,75;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2008;105,56;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2009;105,76;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2010;104,44;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2011;103,85;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2012;;-;w części matematyczno-przyrodniczej
1140000000;w stosunku do średniej krajowej;2013;;-;w części matematyczno-przyrodniczej
1140000000;ogółem;2005;;%;w części humanistycznej język polski
1140000000;ogółem;2006;;%;w części humanistycznej język polski
1140000000;ogółem;2007;;%;w części humanistycznej język polski
1140000000;ogółem;2008;;%;w części humanistycznej język polski
1140000000;ogółem;2009;;%;w części humanistycznej język polski
1140000000;ogółem;2010;;%;w części humanistycznej język polski
1140000000;ogółem;2011;;%;w części humanistycznej język polski
1140000000;ogółem;2012;67;%;w części humanistycznej język polski
1140000000;ogółem;2013;64;%;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2005;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2006;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2007;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2008;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2009;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2010;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2011;;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2012;103,08;-;w części humanistycznej język polski
1140000000;w stosunku do średniej krajowej;2013;103,23;-;w części humanistycznej język polski
1140000000;ogółem;2005;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2006;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2007;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2008;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2009;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2010;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2011;;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2012;63;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2013;60;%;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2005;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2006;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2007;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2008;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2009;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2010;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2011;;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2012;103,28;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;w stosunku do średniej krajowej;2013;103,45;-;w części humanistycznej historia i wiedza o społeczeństwie
1140000000;ogółem;2005;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2006;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2007;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2008;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2009;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2010;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2011;;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2012;50;%;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2013;51;%;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2005;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2006;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2007;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2008;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2009;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2010;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2011;;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2012;106,38;-;w części matematyczno-przyrodniczej matematyka
1140000000;w stosunku do średniej krajowej;2013;106,25;-;w części matematyczno-przyrodniczej matematyka
1140000000;ogółem;2005;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2006;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2007;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2008;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2009;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2010;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2011;;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2012;52;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;ogółem;2013;61;%;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2005;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2006;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2007;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2008;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2009;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2010;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2011;;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2012;104;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
1140000000;w stosunku do średniej krajowej;2013;103,39;-;w części matematyczno-przyrodniczej przedmioty przyrodnicze
2120000000;ogółem;2005;68,59;%;w części humanistycznej
2120000000;ogółem;2006;65,22;%;w części humanistycznej
2120000000;ogółem;2007;65,56;%;w części humanistycznej
2120000000;ogółem;2008;64,31;%;w części humanistycznej
2120000000;ogółem;2009;65,26;%;w części humanistycznej
2120000000;ogółem;2010;63,36;%;w części humanistycznej
2120000000;ogółem;2011;53,4;%;w części humanistycznej
2120000000;ogółem;2012;;%;w części humanistycznej
2120000000;ogółem;2013;;%;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2005;103,36;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2006;103,89;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2007;104,15;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2008;104,59;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2009;103,03;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2010;104,42;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2011;105,49;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2012;;-;w części humanistycznej
2120000000;w stosunku do średniej krajowej;2013;;-;w części humanistycznej
2120000000;ogółem;2005;49,88;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2006;49,43;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2007;52,37;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2008;56,39;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2009;54,32;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2010;50,16;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2011;49,82;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2012;;%;w części matematyczno-przyrodniczej
2120000000;ogółem;2013;;%;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2005;102,82;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2006;103,43;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2007;103,46;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2008;104,14;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2009;104,34;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2010;104,94;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2011;105,42;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2012;;-;w części matematyczno-przyrodniczej
2120000000;w stosunku do średniej krajowej;2013;;-;w części matematyczno-przyrodniczej
2120000000;ogółem;2005;;%;w części humanistycznej język polski
2120000000;ogółem;2006;;%;w części humanistycznej język polski
2120000000;ogółem;2007;;%;w części humanistycznej język polski
2120000000;ogółem;2008;;%;w części humanistycznej język polski
2120000000;ogółem;2009;;%;w części humanistycznej język polski
