Kod;Rodzaje chorób i zatruć;Rok;Wartosc;Jednostka miary
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2010;819;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2011;866;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2012;754;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2013;863;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2014;722;osoba
0;bakteryjne zapalenie opon mózgowych i/lub mózgu;2015;725;osoba
0;wirusowe zapalenie opon mózgowych;2005;1077;osoba
0;wirusowe zapalenie opon mózgowych;2006;1579;osoba
0;wirusowe zapalenie opon mózgowych;2007;1203;osoba
0;wirusowe zapalenie opon mózgowych;2008;712;osoba
0;wirusowe zapalenie opon mózgowych;2009;717;osoba
0;wirusowe zapalenie opon mózgowych;2010;1167;osoba
0;wirusowe zapalenie opon mózgowych;2011;1040;osoba
0;wirusowe zapalenie opon mózgowych;2012;1268;osoba
0;wirusowe zapalenie opon mózgowych;2013;1058;osoba
0;wirusowe zapalenie opon mózgowych;2014;1813;osoba
0;wirusowe zapalenie opon mózgowych;2015;876;osoba
0;wirusowe zapalenie mózgu;2005;392;osoba
0;wirusowe zapalenie mózgu;2006;612;osoba
0;wirusowe zapalenie mózgu;2007;514;osoba
0;wirusowe zapalenie mózgu;2008;410;osoba
0;wirusowe zapalenie mózgu;2009;528;osoba
0;wirusowe zapalenie mózgu;2010;452;osoba
0;wirusowe zapalenie mózgu;2011;399;osoba
0;wirusowe zapalenie mózgu;2012;347;osoba
0;wirusowe zapalenie mózgu;2013;399;osoba
0;wirusowe zapalenie mózgu;2014;353;osoba
0;wirusowe zapalenie mózgu;2015;273;osoba
0;zapalenie przyusznicy nagminne (świnka);2005;71945;osoba
0;zapalenie przyusznicy nagminne (świnka);2006;15115;osoba
0;zapalenie przyusznicy nagminne (świnka);2007;4147;osoba
0;zapalenie przyusznicy nagminne (świnka);2008;3271;osoba
0;zapalenie przyusznicy nagminne (świnka);2009;2954;osoba
0;zapalenie przyusznicy nagminne (świnka);2010;2754;osoba
0;zapalenie przyusznicy nagminne (świnka);2011;2585;osoba
0;zapalenie przyusznicy nagminne (świnka);2012;2779;osoba
0;zapalenie przyusznicy nagminne (świnka);2013;2436;osoba
0;zapalenie przyusznicy nagminne (świnka);2014;2508;osoba
0;zapalenie przyusznicy nagminne (świnka);2015;2208;osoba
0;włośnica;2005;70;osoba
0;włośnica;2006;130;osoba
0;włośnica;2007;292;osoba
0;włośnica;2008;4;osoba
0;włośnica;2009;36;osoba
0;włośnica;2010;51;osoba
0;włośnica;2011;23;osoba
0;włośnica;2012;1;osoba
0;włośnica;2013;9;osoba
0;włośnica;2014;32;osoba
0;włośnica;2015;27;osoba
0;grypa i podejrzenia zachorowań na grypę;2005;733234;osoba
0;grypa i podejrzenia zachorowań na grypę;2006;251815;osoba
0;grypa i podejrzenia zachorowań na grypę;2007;374042;osoba
0;grypa i podejrzenia zachorowań na grypę;2008;227346;osoba
0;grypa i podejrzenia zachorowań na grypę;2009;1081974;osoba
0;grypa i podejrzenia zachorowań na grypę;2010;551054;osoba
0;grypa i podejrzenia zachorowań na grypę;2011;1156357;osoba
0;grypa i podejrzenia zachorowań na grypę;2012;1460037;osoba
0;grypa i podejrzenia zachorowań na grypę;2013;3164405;osoba
0;grypa i podejrzenia zachorowań na grypę;2014;3137056;osoba
0;grypa i podejrzenia zachorowań na grypę;2015;3843438;osoba
0;szczepieni przeciw wściekliźnie;2005;7755;osoba
0;szczepieni przeciw wściekliźnie;2006;7526;osoba
0;szczepieni przeciw wściekliźnie;2007;7102;osoba
0;szczepieni przeciw wściekliźnie;2008;6919;osoba
0;szczepieni przeciw wściekliźnie;2009;6876;osoba
0;szczepieni przeciw wściekliźnie;2010;7524;osoba
0;szczepieni przeciw wściekliźnie;2011;7842;osoba
0;szczepieni przeciw wściekliźnie;2012;7999;osoba
0;szczepieni przeciw wściekliźnie;2013;7844;osoba
0;szczepieni przeciw wściekliźnie;2014;8661;osoba
0;szczepieni przeciw wściekliźnie;2015;8150;osoba
1100000000;tężec;2005;0;osoba
1100000000;tężec;2006;0;osoba
1100000000;tężec;2007;0;osoba
1100000000;tężec;2008;1;osoba
1100000000;tężec;2009;0;osoba
1100000000;tężec;2010;1;osoba
1100000000;tężec;2011;0;osoba
1100000000;tężec;2012;1;osoba
1100000000;tężec;2013;0;osoba
1100000000;tężec;2014;2;osoba
1100000000;tężec;2015;1;osoba
1100000000;krztusiec;2005;443;osoba
1100000000;krztusiec;2006;541;osoba
1100000000;krztusiec;2007;332;osoba
1100000000;krztusiec;2008;332;osoba
1100000000;krztusiec;2009;697;osoba
1100000000;krztusiec;2010;387;osoba
1100000000;krztusiec;2011;218;osoba
1100000000;krztusiec;2012;673;osoba
1100000000;krztusiec;2013;329;osoba
1100000000;krztusiec;2014;305;osoba
1100000000;krztusiec;2015;675;osoba
1100000000;odra;2005;1;osoba
1100000000;odra;2006;0;osoba
1100000000;odra;2007;0;osoba
1100000000;odra;2008;1;osoba
1100000000;odra;2009;7;osoba
1100000000;odra;2010;0;osoba
1100000000;odra;2011;4;osoba
1100000000;odra;2012;1;osoba
1100000000;odra;2013;0;osoba
1100000000;odra;2014;1;osoba
1100000000;odra;2015;0;osoba
1100000000;wirusowe zapalenie wątroby typu B;2005;189;osoba
1100000000;wirusowe zapalenie wątroby typu B;2006;270;osoba
1100000000;wirusowe zapalenie wątroby typu B;2007;186;osoba
1100000000;wirusowe zapalenie wątroby typu B;2008;150;osoba
1100000000;wirusowe zapalenie wątroby typu B;2009;209;osoba
1100000000;wirusowe zapalenie wątroby typu B;2010;185;osoba
1100000000;wirusowe zapalenie wątroby typu B;2011;197;osoba
1100000000;wirusowe zapalenie wątroby typu B;2012;224;osoba
1100000000;wirusowe zapalenie wątroby typu B;2013;148;osoba
1100000000;wirusowe zapalenie wątroby typu B;2014;153;osoba
1100000000;wirusowe zapalenie wątroby typu B;2015;313;osoba
1100000000;wirusowe zapalenie wątroby typu C;2005;272;osoba
1100000000;wirusowe zapalenie wątroby typu C;2006;329;osoba
1100000000;wirusowe zapalenie wątroby typu C;2007;314;osoba
1100000000;wirusowe zapalenie wątroby typu C;2008;199;osoba
1100000000;wirusowe zapalenie wątroby typu C;2009;294;osoba
1100000000;wirusowe zapalenie wątroby typu C;2010;187;osoba
1100000000;wirusowe zapalenie wątroby typu C;2011;197;osoba
1100000000;wirusowe zapalenie wątroby typu C;2012;286;osoba
1100000000;wirusowe zapalenie wątroby typu C;2013;243;osoba
1100000000;wirusowe zapalenie wątroby typu C;2014;369;osoba
1100000000;wirusowe zapalenie wątroby typu C;2015;368;osoba
1100000000;wirusowe zapalenie wątroby typu A;2005;3;osoba
1100000000;wirusowe zapalenie wątroby typu A;2006;11;osoba
1100000000;wirusowe zapalenie wątroby typu A;2007;3;osoba
1100000000;wirusowe zapalenie wątroby typu A;2008;2;osoba
1100000000;wirusowe zapalenie wątroby typu A;2009;77;osoba
1100000000;wirusowe zapalenie wątroby typu A;2010;3;osoba
1100000000;wirusowe zapalenie wątroby typu A;2011;0;osoba
1100000000;wirusowe zapalenie wątroby typu A;2012;2;osoba
1100000000;wirusowe zapalenie wątroby typu A;2013;4;osoba
1100000000;wirusowe zapalenie wątroby typu A;2014;7;osoba
1100000000;wirusowe zapalenie wątroby typu A;2015;8;osoba
1100000000;różyczka;2005;447;osoba
1100000000;różyczka;2006;333;osoba
1100000000;różyczka;2007;860;osoba
1100000000;różyczka;2008;3301;osoba
1100000000;różyczka;2009;318;osoba
1100000000;różyczka;2010;152;osoba
1100000000;różyczka;2011;243;osoba
1100000000;różyczka;2012;169;osoba
1100000000;różyczka;2013;734;osoba
1100000000;różyczka;2014;364;osoba
1100000000;różyczka;2015;58;osoba
1100000000;AIDS;2005;10;osoba
1100000000;AIDS;2006;6;osoba
1100000000;AIDS;2007;13;osoba
1100000000;AIDS;2008;13;osoba
1100000000;AIDS;2009;8;osoba
1100000000;AIDS;2010;18;osoba
1100000000;AIDS;2011;18;osoba
1100000000;AIDS;2012;17;osoba
1100000000;AIDS;2013;13;osoba
1100000000;AIDS;2014;16;osoba
1100000000;AIDS;2015;13;osoba
1100000000;salmonellozy;2005;881;osoba
1100000000;salmonellozy;2006;905;osoba
1100000000;salmonellozy;2007;774;osoba
1100000000;salmonellozy;2008;660;osoba
1100000000;salmonellozy;2009;719;osoba
1100000000;salmonellozy;2010;652;osoba
1100000000;salmonellozy;2011;531;osoba
1100000000;salmonellozy;2012;514;osoba
1100000000;salmonellozy;2013;520;osoba
1100000000;salmonellozy;2014;700;osoba
1100000000;salmonellozy;2015;688;osoba
1100000000;czerwonka bakteryjna;2005;0;osoba
1100000000;czerwonka bakteryjna;2006;0;osoba
1100000000;czerwonka bakteryjna;2007;0;osoba
1100000000;czerwonka bakteryjna;2008;0;osoba
1100000000;czerwonka bakteryjna;2009;2;osoba
1100000000;czerwonka bakteryjna;2010;0;osoba
1100000000;czerwonka bakteryjna;2011;2;osoba
1100000000;czerwonka bakteryjna;2012;4;osoba
1100000000;czerwonka bakteryjna;2013;3;osoba
1100000000;czerwonka bakteryjna;2014;13;osoba
1100000000;czerwonka bakteryjna;2015;1;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2005;232;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2006;414;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2007;164;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2008;87;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2009;67;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2010;30;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2011;47;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2012;11;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2013;9;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2014;47;osoba
1100000000;inne bakteryjne zatrucia pokarmowe;2015;46;osoba
1100000000;biegunki u dzieci do lat 2;2005;965;osoba
1100000000;biegunki u dzieci do lat 2;2006;1095;osoba
1100000000;biegunki u dzieci do lat 2;2007;1439;osoba
1100000000;biegunki u dzieci do lat 2;2008;1589;osoba
1100000000;biegunki u dzieci do lat 2;2009;1881;osoba
1100000000;biegunki u dzieci do lat 2;2010;1522;osoba
1100000000;biegunki u dzieci do lat 2;2011;1477;osoba
1100000000;biegunki u dzieci do lat 2;2012;1466;osoba
1100000000;biegunki u dzieci do lat 2;2013;1534;osoba
1100000000;biegunki u dzieci do lat 2;2014;1801;osoba
1100000000;biegunki u dzieci do lat 2;2015;2166;osoba
1100000000;szkarlatyna (płonnica);2005;426;osoba
1100000000;szkarlatyna (płonnica);2006;363;osoba
1100000000;szkarlatyna (płonnica);2007;300;osoba
1100000000;szkarlatyna (płonnica);2008;464;osoba
1100000000;szkarlatyna (płonnica);2009;530;osoba
1100000000;szkarlatyna (płonnica);2010;460;osoba
1100000000;szkarlatyna (płonnica);2011;594;osoba
1100000000;szkarlatyna (płonnica);2012;652;osoba
1100000000;szkarlatyna (płonnica);2013;577;osoba
1100000000;szkarlatyna (płonnica);2014;718;osoba
1100000000;szkarlatyna (płonnica);2015;1322;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2005;45;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2006;68;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2007;62;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2008;49;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2009;41;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2010;47;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2011;41;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2012;47;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2013;53;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2014;58;osoba
1100000000;bakteryjne zapalenie opon mózgowych i/lub mózgu;2015;46;osoba
1100000000;wirusowe zapalenie opon mózgowych;2005;19;osoba
1100000000;wirusowe zapalenie opon mózgowych;2006;51;osoba
1100000000;wirusowe zapalenie opon mózgowych;2007;65;osoba
1100000000;wirusowe zapalenie opon mózgowych;2008;27;osoba
1100000000;wirusowe zapalenie opon mózgowych;2009;36;osoba
1100000000;wirusowe zapalenie opon mózgowych;2010;40;osoba
1100000000;wirusowe zapalenie opon mózgowych;2011;34;osoba
1100000000;wirusowe zapalenie opon mózgowych;2012;84;osoba
1100000000;wirusowe zapalenie opon mózgowych;2013;43;osoba
1100000000;wirusowe zapalenie opon mózgowych;2014;74;osoba
1100000000;wirusowe zapalenie opon mózgowych;2015;38;osoba
1100000000;wirusowe zapalenie mózgu;2005;6;osoba
1100000000;wirusowe zapalenie mózgu;2006;10;osoba
1100000000;wirusowe zapalenie mózgu;2007;13;osoba
1100000000;wirusowe zapalenie mózgu;2008;6;osoba
1100000000;wirusowe zapalenie mózgu;2009;10;osoba
1100000000;wirusowe zapalenie mózgu;2010;9;osoba
1100000000;wirusowe zapalenie mózgu;2011;10;osoba
1100000000;wirusowe zapalenie mózgu;2012;8;osoba
1100000000;wirusowe zapalenie mózgu;2013;7;osoba
1100000000;wirusowe zapalenie mózgu;2014;15;osoba
1100000000;wirusowe zapalenie mózgu;2015;12;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2005;4281;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2006;578;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2007;147;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2008;199;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2009;186;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2010;171;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2011;163;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2012;129;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2013;107;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2014;115;osoba
1100000000;zapalenie przyusznicy nagminne (świnka);2015;94;osoba
1100000000;włośnica;2005;0;osoba
1100000000;włośnica;2006;0;osoba
1100000000;włośnica;2007;0;osoba
1100000000;włośnica;2008;0;osoba
1100000000;włośnica;2009;0;osoba
1100000000;włośnica;2010;0;osoba
1100000000;włośnica;2011;0;osoba
1100000000;włośnica;2012;0;osoba
1100000000;włośnica;2013;0;osoba
1100000000;włośnica;2014;0;osoba
1100000000;włośnica;2015;0;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2005;67422;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2006;38741;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2007;49619;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2008;20102;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2009;93763;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2010;37204;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2011;77410;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2012;80923;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2013;202610;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2014;151200;osoba
1100000000;grypa i podejrzenia zachorowań na grypę;2015;184847;osoba
1100000000;szczepieni przeciw wściekliźnie;2005;644;osoba
1100000000;szczepieni przeciw wściekliźnie;2006;743;osoba
1100000000;szczepieni przeciw wściekliźnie;2007;633;osoba
1100000000;szczepieni przeciw wściekliźnie;2008;544;osoba
1100000000;szczepieni przeciw wściekliźnie;2009;681;osoba
1100000000;szczepieni przeciw wściekliźnie;2010;724;osoba
1100000000;szczepieni przeciw wściekliźnie;2011;716;osoba
1100000000;szczepieni przeciw wściekliźnie;2012;693;osoba
1100000000;szczepieni przeciw wściekliźnie;2013;592;osoba
1100000000;szczepieni przeciw wściekliźnie;2014;644;osoba
1100000000;szczepieni przeciw wściekliźnie;2015;558;osoba
1140000000;tężec;2005;1;osoba
1140000000;tężec;2006;5;osoba
1140000000;tężec;2007;3;osoba
1140000000;tężec;2008;0;osoba
1140000000;tężec;2009;2;osoba
1140000000;tężec;2010;0;osoba
1140000000;tężec;2011;3;osoba
1140000000;tężec;2012;2;osoba
1140000000;tężec;2013;2;osoba
1140000000;tężec;2014;4;osoba
1140000000;tężec;2015;1;osoba
1140000000;krztusiec;2005;433;osoba
1140000000;krztusiec;2006;124;osoba
1140000000;krztusiec;2007;286;osoba
1140000000;krztusiec;2008;411;osoba
1140000000;krztusiec;2009;201;osoba
1140000000;krztusiec;2010;156;osoba
1140000000;krztusiec;2011;426;osoba
1140000000;krztusiec;2012;805;osoba
1140000000;krztusiec;2013;546;osoba
1140000000;krztusiec;2014;447;osoba
1140000000;krztusiec;2015;1128;osoba
1140000000;odra;2005;1;osoba
1140000000;odra;2006;52;osoba
1140000000;odra;2007;26;osoba
1140000000;odra;2008;2;osoba
1140000000;odra;2009;23;osoba
1140000000;odra;2010;2;osoba
1140000000;odra;2011;10;osoba
1140000000;odra;2012;21;osoba
1140000000;odra;2013;14;osoba
1140000000;odra;2014;23;osoba
1140000000;odra;2015;8;osoba
1140000000;wirusowe zapalenie wątroby typu B;2005;193;osoba
1140000000;wirusowe zapalenie wątroby typu B;2006;135;osoba
1140000000;wirusowe zapalenie wątroby typu B;2007;172;osoba
1140000000;wirusowe zapalenie wątroby typu B;2008;178;osoba
1140000000;wirusowe zapalenie wątroby typu B;2009;208;osoba
1140000000;wirusowe zapalenie wątroby typu B;2010;282;osoba
1140000000;wirusowe zapalenie wątroby typu B;2011;233;osoba
1140000000;wirusowe zapalenie wątroby typu B;2012;226;osoba
1140000000;wirusowe zapalenie wątroby typu B;2013;417;osoba
1140000000;wirusowe zapalenie wątroby typu B;2014;329;osoba
1140000000;wirusowe zapalenie wątroby typu B;2015;243;osoba
1140000000;wirusowe zapalenie wątroby typu C;2005;389;osoba
1140000000;wirusowe zapalenie wątroby typu C;2006;394;osoba
1140000000;wirusowe zapalenie wątroby typu C;2007;505;osoba
1140000000;wirusowe zapalenie wątroby typu C;2008;427;osoba
1140000000;wirusowe zapalenie wątroby typu C;2009;154;osoba
1140000000;wirusowe zapalenie wątroby typu C;2010;322;osoba
1140000000;wirusowe zapalenie wątroby typu C;2011;295;osoba
1140000000;wirusowe zapalenie wątroby typu C;2012;337;osoba
1140000000;wirusowe zapalenie wątroby typu C;2013;598;osoba
1140000000;wirusowe zapalenie wątroby typu C;2014;490;osoba
1140000000;wirusowe zapalenie wątroby typu C;2015;418;osoba
1140000000;wirusowe zapalenie wątroby typu A;2005;6;osoba
1140000000;wirusowe zapalenie wątroby typu A;2006;19;osoba
1140000000;wirusowe zapalenie wątroby typu A;2007;9;osoba
1140000000;wirusowe zapalenie wątroby typu A;2008;57;osoba
1140000000;wirusowe zapalenie wątroby typu A;2009;269;osoba
1140000000;wirusowe zapalenie wątroby typu A;2010;37;osoba
1140000000;wirusowe zapalenie wątroby typu A;2011;11;osoba
1140000000;wirusowe zapalenie wątroby typu A;2012;7;osoba
1140000000;wirusowe zapalenie wątroby typu A;2013;8;osoba
1140000000;wirusowe zapalenie wątroby typu A;2014;14;osoba
1140000000;wirusowe zapalenie wątroby typu A;2015;8;osoba
1140000000;różyczka;2005;1365;osoba
1140000000;różyczka;2006;5382;osoba
1140000000;różyczka;2007;1563;osoba
1140000000;różyczka;2008;1288;osoba
1140000000;różyczka;2009;727;osoba
1140000000;różyczka;2010;297;osoba
1140000000;różyczka;2011;323;osoba
1140000000;różyczka;2012;285;osoba
1140000000;różyczka;2013;1924;osoba
1140000000;różyczka;2014;1104;osoba
1140000000;różyczka;2015;329;osoba
1140000000;AIDS;2005;7;osoba
1140000000;AIDS;2006;4;osoba
1140000000;AIDS;2007;7;osoba
1140000000;AIDS;2008;7;osoba
1140000000;AIDS;2009;5;osoba
1140000000;AIDS;2010;9;osoba
1140000000;AIDS;2011;17;osoba
1140000000;AIDS;2012;12;osoba
1140000000;AIDS;2013;16;osoba
1140000000;AIDS;2014;17;osoba
1140000000;AIDS;2015;9;osoba
1140000000;salmonellozy;2005;2316;osoba
1140000000;salmonellozy;2006;1798;osoba
1140000000;salmonellozy;2007;1689;osoba
1140000000;salmonellozy;2008;1562;osoba
1140000000;salmonellozy;2009;1540;osoba
1140000000;salmonellozy;2010;1794;osoba
1140000000;salmonellozy;2011;1896;osoba
1140000000;salmonellozy;2012;1874;osoba
1140000000;salmonellozy;2013;1159;osoba
1140000000;salmonellozy;2014;1607;osoba
1140000000;salmonellozy;2015;1394;osoba
1140000000;czerwonka bakteryjna;2005;3;osoba
1140000000;czerwonka bakteryjna;2006;6;osoba
1140000000;czerwonka bakteryjna;2007;6;osoba
