Kod;Rodzaje dochodów;Rok;Wartosc;Jednostka miary
0;z gospodarstwa indywidualnego w rolnictwie;2014;44,65;zł
0;z gospodarstwa indywidualnego w rolnictwie;2015;44,22;zł
0;z pracy na własny rachunek;1999;45,79;zł
0;z pracy na własny rachunek;2000;52,81;zł
0;z pracy na własny rachunek;2001;55,16;zł
0;z pracy na własny rachunek;2002;54,37;zł
0;z pracy na własny rachunek;2003;55,38;zł
0;z pracy na własny rachunek;2004;58,94;zł
0;z pracy na własny rachunek;2005;61,48;zł
0;z pracy na własny rachunek;2006;70,85;zł
0;z pracy na własny rachunek;2007;82,78;zł
0;z pracy na własny rachunek;2008;91,58;zł
0;z pracy na własny rachunek;2009;101,37;zł
0;z pracy na własny rachunek;2010;109,26;zł
0;z pracy na własny rachunek;2011;109,01;zł
0;z pracy na własny rachunek;2012;108,46;zł
0;z pracy na własny rachunek;2013;111,81;zł
0;z pracy na własny rachunek;2014;114,51;zł
0;z pracy na własny rachunek;2015;120,14;zł
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;1999;;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2000;;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2001;;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2002;;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2003;48,6;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2004;51;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2005;55,5;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2006;54,3;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2007;54,6;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2008;47,2;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2009;42,5;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2010;46,1;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2011;40,9;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2012;48,7;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2013;51,2;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2014;39;%
0;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2015;36,8;%
0;ze świadczeń społecznych;1999;183,66;zł
0;ze świadczeń społecznych;2000;198,59;zł
0;ze świadczeń społecznych;2001;217,89;zł
0;ze świadczeń społecznych;2002;230,75;zł
0;ze świadczeń społecznych;2003;258,17;zł
0;ze świadczeń społecznych;2004;260,8;zł
0;ze świadczeń społecznych;2005;266;zł
0;ze świadczeń społecznych;2006;280,03;zł
0;ze świadczeń społecznych;2007;283,03;zł
0;ze świadczeń społecznych;2008;298,74;zł
0;ze świadczeń społecznych;2009;322,51;zł
0;ze świadczeń społecznych;2010;337,03;zł
0;ze świadczeń społecznych;2011;348,86;zł
0;ze świadczeń społecznych;2012;369,24;zł
0;ze świadczeń społecznych;2013;378,21;zł
0;ze świadczeń społecznych;2014;387,7;zł
0;ze świadczeń społecznych;2015;397,3;zł
0;dochód do dyspozycji;1999;540,82;zł
0;dochód do dyspozycji;2000;588,63;zł
0;dochód do dyspozycji;2001;620,47;zł
0;dochód do dyspozycji;2002;638,41;zł
0;dochód do dyspozycji;2003;682,9;zł
0;dochód do dyspozycji;2004;706,34;zł
0;dochód do dyspozycji;2005;731,84;zł
0;dochód do dyspozycji;2006;802,43;zł
0;dochód do dyspozycji;2007;894,51;zł
0;dochód do dyspozycji;2008;1006,57;zł
0;dochód do dyspozycji;2009;1071,67;zł
0;dochód do dyspozycji;2010;1147,18;zł
0;dochód do dyspozycji;2011;1183,66;zł
0;dochód do dyspozycji;2012;1232,85;zł
0;dochód do dyspozycji;2013;1254,89;zł
0;dochód do dyspozycji;2014;1293,32;zł
0;dochód do dyspozycji;2015;1337,87;zł
0;ogółem, Polska = 100;1999;;%
0;ogółem, Polska = 100;2000;;%
0;ogółem, Polska = 100;2001;;%
0;ogółem, Polska = 100;2002;;%
0;ogółem, Polska = 100;2003;;%
0;ogółem, Polska = 100;2004;;%
0;ogółem, Polska = 100;2005;100;%
0;ogółem, Polska = 100;2006;100;%
0;ogółem, Polska = 100;2007;100;%
0;ogółem, Polska = 100;2008;100;%
0;ogółem, Polska = 100;2009;100;%
0;ogółem, Polska = 100;2010;100;%
0;ogółem, Polska = 100;2011;100;%
0;ogółem, Polska = 100;2012;100;%
0;ogółem, Polska = 100;2013;100;%
0;ogółem, Polska = 100;2014;100;%
0;ogółem, Polska = 100;2015;100;%
1100000000;ogółem;1999;574,62;zł
1100000000;ogółem;2000;632,09;zł
1100000000;ogółem;2001;645,07;zł
1100000000;ogółem;2002;660,51;zł
1100000000;ogółem;2003;713,95;zł
1100000000;ogółem;2004;730,53;zł
1100000000;ogółem;2005;768,97;zł
1100000000;ogółem;2006;836,9;zł
1100000000;ogółem;2007;910,99;zł
1100000000;ogółem;2008;1013,36;zł
1100000000;ogółem;2009;1115,1;zł
1100000000;ogółem;2010;1178,73;zł
1100000000;ogółem;2011;1203,19;zł
1100000000;ogółem;2012;1268,42;zł
1100000000;ogółem;2013;1296,47;zł
1100000000;ogółem;2014;1293,36;zł
1100000000;ogółem;2015;1362,03;zł
1100000000;z pracy najemnej;1999;259,42;zł
1100000000;z pracy najemnej;2000;280,92;zł
1100000000;z pracy najemnej;2001;295,5;zł
1100000000;z pracy najemnej;2002;296,9;zł
1100000000;z pracy najemnej;2003;320,5;zł
1100000000;z pracy najemnej;2004;342,76;zł
1100000000;z pracy najemnej;2005;360,98;zł
1100000000;z pracy najemnej;2006;392,3;zł
1100000000;z pracy najemnej;2007;449,04;zł
1100000000;z pracy najemnej;2008;542,98;zł
1100000000;z pracy najemnej;2009;558,87;zł
1100000000;z pracy najemnej;2010;594,75;zł
1100000000;z pracy najemnej;2011;636,38;zł
1100000000;z pracy najemnej;2012;682,08;zł
1100000000;z pracy najemnej;2013;685,97;zł
1100000000;z pracy najemnej;2014;691,36;zł
1100000000;z pracy najemnej;2015;724,87;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;1999;46,67;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2000;47,19;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2001;30,04;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2002;24,44;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2003;21,64;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2004;31,26;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2005;37,18;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2006;34,03;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2007;41,06;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2008;30,34;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2009;40,27;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2010;55,1;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2011;53,95;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2012;56,66;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2013;56,51;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2014;40,42;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie;2015;46,2;zł
1100000000;z pracy na własny rachunek;1999;50,11;zł
1100000000;z pracy na własny rachunek;2000;55,4;zł
1100000000;z pracy na własny rachunek;2001;52,35;zł
1100000000;z pracy na własny rachunek;2002;45,36;zł
1100000000;z pracy na własny rachunek;2003;48,01;zł
1100000000;z pracy na własny rachunek;2004;34,89;zł
1100000000;z pracy na własny rachunek;2005;44,14;zł
1100000000;z pracy na własny rachunek;2006;68,94;zł
1100000000;z pracy na własny rachunek;2007;73;zł
1100000000;z pracy na własny rachunek;2008;75,11;zł
1100000000;z pracy na własny rachunek;2009;108,06;zł
1100000000;z pracy na własny rachunek;2010;118,86;zł
1100000000;z pracy na własny rachunek;2011;89,97;zł
1100000000;z pracy na własny rachunek;2012;87,58;zł
1100000000;z pracy na własny rachunek;2013;82,44;zł
1100000000;z pracy na własny rachunek;2014;94;zł
1100000000;z pracy na własny rachunek;2015;113,78;zł
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;1999;;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2000;;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2001;;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2002;;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2003;45,1;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2004;89,6;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2005;84,2;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2006;49,4;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2007;56,2;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2008;40,4;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2009;37,3;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2010;46,4;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2011;60;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2012;64,7;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2013;68,5;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2014;43;%
1100000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2015;40,6;%
1100000000;ze świadczeń społecznych;1999;187,22;zł
1100000000;ze świadczeń społecznych;2000;209,48;zł
1100000000;ze świadczeń społecznych;2001;225,22;zł
1100000000;ze świadczeń społecznych;2002;244,54;zł
1100000000;ze świadczeń społecznych;2003;260,85;zł
1100000000;ze świadczeń społecznych;2004;267,1;zł
1100000000;ze świadczeń społecznych;2005;273,34;zł
1100000000;ze świadczeń społecznych;2006;290,68;zł
1100000000;ze świadczeń społecznych;2007;295,21;zł
1100000000;ze świadczeń społecznych;2008;308,6;zł
1100000000;ze świadczeń społecznych;2009;351,68;zł
1100000000;ze świadczeń społecznych;2010;353,17;zł
1100000000;ze świadczeń społecznych;2011;366,55;zł
1100000000;ze świadczeń społecznych;2012;381,78;zł
1100000000;ze świadczeń społecznych;2013;399,57;zł
1100000000;ze świadczeń społecznych;2014;392,07;zł
1100000000;ze świadczeń społecznych;2015;403,54;zł
1100000000;dochód do dyspozycji;1999;550,83;zł
1100000000;dochód do dyspozycji;2000;603,2;zł
1100000000;dochód do dyspozycji;2001;621,3;zł
1100000000;dochód do dyspozycji;2002;629,3;zł
1100000000;dochód do dyspozycji;2003;681,68;zł
1100000000;dochód do dyspozycji;2004;697,72;zł
1100000000;dochód do dyspozycji;2005;737,09;zł
1100000000;dochód do dyspozycji;2006;795,91;zł
1100000000;dochód do dyspozycji;2007;872,78;zł
1100000000;dochód do dyspozycji;2008;969,79;zł
1100000000;dochód do dyspozycji;2009;1065,07;zł
1100000000;dochód do dyspozycji;2010;1124,92;zł
1100000000;dochód do dyspozycji;2011;1148,54;zł
1100000000;dochód do dyspozycji;2012;1216,56;zł
1100000000;dochód do dyspozycji;2013;1240,63;zł
1100000000;dochód do dyspozycji;2014;1236,48;zł
1100000000;dochód do dyspozycji;2015;1306,51;zł
1100000000;ogółem, Polska = 100;1999;;%
1100000000;ogółem, Polska = 100;2000;;%
1100000000;ogółem, Polska = 100;2001;;%
1100000000;ogółem, Polska = 100;2002;;%
1100000000;ogółem, Polska = 100;2003;;%
1100000000;ogółem, Polska = 100;2004;;%
1100000000;ogółem, Polska = 100;2005;101;%
1100000000;ogółem, Polska = 100;2006;100,3;%
1100000000;ogółem, Polska = 100;2007;98,1;%
1100000000;ogółem, Polska = 100;2008;96,9;%
1100000000;ogółem, Polska = 100;2009;100,1;%
1100000000;ogółem, Polska = 100;2010;98,8;%
1100000000;ogółem, Polska = 100;2011;98,1;%
1100000000;ogółem, Polska = 100;2012;99,2;%
1100000000;ogółem, Polska = 100;2013;99,8;%
1100000000;ogółem, Polska = 100;2014;96,5;%
1100000000;ogółem, Polska = 100;2015;98,3;%
1140000000;ogółem;1999;680,05;zł
1140000000;ogółem;2000;750,26;zł
1140000000;ogółem;2001;771,44;zł
1140000000;ogółem;2002;795,48;zł
1140000000;ogółem;2003;898,78;zł
1140000000;ogółem;2004;940,18;zł
1140000000;ogółem;2005;937,97;zł
1140000000;ogółem;2006;1048,8;zł
1140000000;ogółem;2007;1207,15;zł
1140000000;ogółem;2008;1336,46;zł
1140000000;ogółem;2009;1438,73;zł
1140000000;ogółem;2010;1601,97;zł
1140000000;ogółem;2011;1622,96;zł
1140000000;ogółem;2012;1710,01;zł
1140000000;ogółem;2013;1690,42;zł
1140000000;ogółem;2014;1703,62;zł
1140000000;ogółem;2015;1756,15;zł
1140000000;z pracy najemnej;1999;338,33;zł
1140000000;z pracy najemnej;2000;399,65;zł
1140000000;z pracy najemnej;2001;395,67;zł
1140000000;z pracy najemnej;2002;392,56;zł
1140000000;z pracy najemnej;2003;457,89;zł
1140000000;z pracy najemnej;2004;493,09;zł
1140000000;z pracy najemnej;2005;496,56;zł
1140000000;z pracy najemnej;2006;565,38;zł
1140000000;z pracy najemnej;2007;651,46;zł
1140000000;z pracy najemnej;2008;772,59;zł
1140000000;z pracy najemnej;2009;820,62;zł
1140000000;z pracy najemnej;2010;958,63;zł
1140000000;z pracy najemnej;2011;1009,07;zł
1140000000;z pracy najemnej;2012;1016,32;zł
1140000000;z pracy najemnej;2013;977,08;zł
1140000000;z pracy najemnej;2014;1007,33;zł
1140000000;z pracy najemnej;2015;1042,68;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;1999;43,69;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2000;37,09;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2001;39,92;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2002;37,37;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2003;32,78;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2004;37,61;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2005;43;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2006;46,55;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2007;57,4;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2008;54,98;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2009;60,57;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2010;67,19;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2011;33,93;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2012;68,91;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2013;63,2;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2014;37,61;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie;2015;53,46;zł
1140000000;z pracy na własny rachunek;1999;70,97;zł
1140000000;z pracy na własny rachunek;2000;70,38;zł
1140000000;z pracy na własny rachunek;2001;81,07;zł
1140000000;z pracy na własny rachunek;2002;89,18;zł
1140000000;z pracy na własny rachunek;2003;92,39;zł
1140000000;z pracy na własny rachunek;2004;93,34;zł
1140000000;z pracy na własny rachunek;2005;91,54;zł
1140000000;z pracy na własny rachunek;2006;107,63;zł
1140000000;z pracy na własny rachunek;2007;138,64;zł
1140000000;z pracy na własny rachunek;2008;141,32;zł
1140000000;z pracy na własny rachunek;2009;156,16;zł
1140000000;z pracy na własny rachunek;2010;181,19;zł
1140000000;z pracy na własny rachunek;2011;178,75;zł
1140000000;z pracy na własny rachunek;2012;175,2;zł
1140000000;z pracy na własny rachunek;2013;194,52;zł
1140000000;z pracy na własny rachunek;2014;209,39;zł
1140000000;z pracy na własny rachunek;2015;201,8;zł
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;1999;;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2000;;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2001;;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2002;;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2003;35,5;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2004;40,3;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2005;47;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2006;43,3;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2007;41,4;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2008;38,9;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2009;38,8;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2010;37,1;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2011;19;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2012;39,3;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2013;32,5;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2014;18;%
1140000000;z gospodarstwa indywidualnego w rolnictwie w relacji do dochodu na 1 osobę z pracy na własny rachunek;2015;26,5;%
1140000000;ze świadczeń społecznych;1999;194,36;zł
1140000000;ze świadczeń społecznych;2000;200,71;zł
1140000000;ze świadczeń społecznych;2001;210,98;zł
1140000000;ze świadczeń społecznych;2002;225,48;zł
1140000000;ze świadczeń społecznych;2003;255,62;zł
1140000000;ze świadczeń społecznych;2004;254,44;zł
1140000000;ze świadczeń społecznych;2005;254,92;zł
1140000000;ze świadczeń społecznych;2006;270,45;zł
1140000000;ze świadczeń społecznych;2007;279,8;zł
1140000000;ze świadczeń społecznych;2008;299,73;zł
1140000000;ze świadczeń społecznych;2009;331,73;zł
1140000000;ze świadczeń społecznych;2010;321,11;zł
1140000000;ze świadczeń społecznych;2011;321,36;zł
1140000000;ze świadczeń społecznych;2012;357,67;zł
1140000000;ze świadczeń społecznych;2013;371,16;zł
1140000000;ze świadczeń społecznych;2014;365,95;zł
1140000000;ze świadczeń społecznych;2015;366,08;zł
1140000000;dochód do dyspozycji;1999;658,45;zł
1140000000;dochód do dyspozycji;2000;723,94;zł
1140000000;dochód do dyspozycji;2001;743,36;zł
1140000000;dochód do dyspozycji;2002;765,48;zł
1140000000;dochód do dyspozycji;2003;861,15;zł
1140000000;dochód do dyspozycji;2004;903,37;zł
1140000000;dochód do dyspozycji;2005;904,88;zł
1140000000;dochód do dyspozycji;2006;1011,51;zł
1140000000;dochód do dyspozycji;2007;1165,16;zł
1140000000;dochód do dyspozycji;2008;1286,55;zł
1140000000;dochód do dyspozycji;2009;1385,09;zł
1140000000;dochód do dyspozycji;2010;1539,05;zł
1140000000;dochód do dyspozycji;2011;1569,11;zł
1140000000;dochód do dyspozycji;2012;1646,06;zł
1140000000;dochód do dyspozycji;2013;1636,3;zł
1140000000;dochód do dyspozycji;2014;1638,97;zł
1140000000;dochód do dyspozycji;2015;1691;zł
1140000000;ogółem, Polska = 100;1999;;%
1140000000;ogółem, Polska = 100;2000;;%
1140000000;ogółem, Polska = 100;2001;;%
1140000000;ogółem, Polska = 100;2002;;%
1140000000;ogółem, Polska = 100;2003;;%
1140000000;ogółem, Polska = 100;2004;;%
1140000000;ogółem, Polska = 100;2005;123,2;%
1140000000;ogółem, Polska = 100;2006;125,7;%
1140000000;ogółem, Polska = 100;2007;130;%
1140000000;ogółem, Polska = 100;2008;127,8;%
1140000000;ogółem, Polska = 100;2009;129,1;%
1140000000;ogółem, Polska = 100;2010;134,3;%
1140000000;ogółem, Polska = 100;2011;132,3;%
1140000000;ogółem, Polska = 100;2012;133,8;%
1140000000;ogółem, Polska = 100;2013;130,1;%
1140000000;ogółem, Polska = 100;2014;127,1;%
1140000000;ogółem, Polska = 100;2015;126,7;%
2120000000;ogółem;1999;559,65;zł
2120000000;ogółem;2000;583,6;zł
2120000000;ogółem;2001;630,48;zł
2120000000;ogółem;2002;631,65;zł
2120000000;ogółem;2003;671,84;zł
2120000000;ogółem;2004;717,61;zł
2120000000;ogółem;2005;732,27;zł
2120000000;ogółem;2006;765,1;zł
2120000000;ogółem;2007;864,37;zł
2120000000;ogółem;2008;1000,74;zł
2120000000;ogółem;2009;1041,73;zł
2120000000;ogółem;2010;1107,54;zł
2120000000;ogółem;2011;1156,79;zł
2120000000;ogółem;2012;1189,84;zł
2120000000;ogółem;2013;1227,8;zł
2120000000;ogółem;2014;1260,58;zł
2120000000;ogółem;2015;1305,45;zł
2120000000;z pracy najemnej;1999;263,06;zł
2120000000;z pracy najemnej;2000;277;zł
2120000000;z pracy najemnej;2001;288,38;zł
2120000000;z pracy najemnej;2002;281,2;zł
2120000000;z pracy najemnej;2003;292,93;zł
2120000000;z pracy najemnej;2004;331,23;zł
2120000000;z pracy najemnej;2005;352,03;zł
2120000000;z pracy najemnej;2006;360,37;zł
2120000000;z pracy najemnej;2007;439,79;zł
2120000000;z pracy najemnej;2008;540,38;zł
2120000000;z pracy najemnej;2009;567,28;zł
2120000000;z pracy najemnej;2010;604,37;zł
2120000000;z pracy najemnej;2011;613,21;zł
2120000000;z pracy najemnej;2012;626,12;zł
2120000000;z pracy najemnej;2013;670,47;zł
2120000000;z pracy najemnej;2014;686,31;zł
2120000000;z pracy najemnej;2015;700,09;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;1999;22,77;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2000;25,41;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2001;21,89;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2002;25,66;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2003;18,76;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2004;15,37;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2005;17,89;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2006;21,96;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2007;22,4;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2008;20,41;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2009;22,12;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2010;23,61;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2011;26,75;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2012;28,04;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2013;22,43;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2014;20,33;zł
2120000000;z gospodarstwa indywidualnego w rolnictwie;2015;27,87;zł
2120000000;z pracy na własny rachunek;1999;53,83;zł
2120000000;z pracy na własny rachunek;2000;46,48;zł
2120000000;z pracy na własny rachunek;2001;63,72;zł
2120000000;z pracy na własny rachunek;2002;51,83;zł
2120000000;z pracy na własny rachunek;2003;53,72;zł
2120000000;z pracy na własny rachunek;2004;64,02;zł
2120000000;z pracy na własny rachunek;2005;63,89;zł
2120000000;z pracy na własny rachunek;2006;68,71;zł
2120000000;z pracy na własny rachunek;2007;89,98;zł
2120000000;z pracy na własny rachunek;2008;88,05;zł
